+--------+----------------------------+-------------+----------------------------+----------------------------+----------------------------+
| Bin#   | #rightarrow 0.46 (210.00)  |    Total    | #leftarrow 0.46 (1170.00)  | #rightarrow 0.98 (180.00)  | #leftarrow 0.92 (1200.00)  |
|--------+----------------------------+-------------+----------------------------+----------------------------+----------------------------+
| Bin0   |           0 ± 0            |    0 ± 0    |           0 ± 0            |           0 ± 0            |           0 ± 0            |
| Bin1   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin2   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin3   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin4   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin5   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin6   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin7   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin8   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0            |        0.001524 ± 0        |
| Bin9   |         0.9986 ± 0         | 0.9986 ± 0  |           0 ± 0            |         0.9985 ± 0         |        0.001524 ± 0        |
| Bin10  |         0.9986 ± 0         | 0.9986 ± 0  |           0 ± 0            |         0.9985 ± 0         |        0.004913 ± 0        |
| Bin11  |         0.9955 ± 0         | 0.9955 ± 0  |           0 ± 0            |         0.9951 ± 0         |        0.01719 ± 0         |
| Bin12  |         0.9843 ± 0         | 0.9843 ± 0  |           0 ± 0            |         0.9828 ± 0         |        0.02076 ± 0         |
| Bin13  |         0.981 ± 0          |  0.981 ± 0  |           0 ± 0            |         0.9792 ± 0         |        0.03932 ± 0         |
| Bin14  |         0.964 ± 0          |  0.964 ± 0  |         0.1661 ± 0         |         0.9607 ± 0         |        0.05264 ± 0         |
| Bin15  |         1.008 ± 0          |  1.008 ± 0  |         0.2057 ± 0         |         0.9474 ± 0         |        0.06589 ± 0         |
| Bin16  |         0.9952 ± 0         | 0.9952 ± 0  |         0.2647 ± 0         |         0.9341 ± 0         |        0.08613 ± 0         |
| Bin17  |         0.9756 ± 0         | 0.9756 ± 0  |         0.3001 ± 0         |         0.9139 ± 0         |        0.09852 ± 0         |
| Bin18  |         0.9636 ± 0         | 0.9636 ± 0  |         0.4076 ± 0         |         0.9015 ± 0         |         0.1375 ± 0         |
| Bin19  |         0.9255 ± 0         | 0.9255 ± 0  |         0.4692 ± 0         |         0.8625 ± 0         |         0.1606 ± 0         |
| Bin20  |         0.9028 ± 0         | 0.9028 ± 0  |         0.5915 ± 0         |         0.8394 ± 0         |         0.2083 ± 0         |
| Bin21  |         0.8557 ± 0         | 0.8557 ± 0  |         0.5895 ± 0         |         0.7917 ± 0         |         0.2677 ± 0         |
| Bin22  |         0.8391 ± 0         | 0.8391 ± 0  |         0.6222 ± 0         |         0.7323 ± 0         |         0.2842 ± 0         |
| Bin23  |         0.8218 ± 0         | 0.8218 ± 0  |         0.6997 ± 0         |         0.7158 ± 0         |         0.324 ± 0          |
| Bin24  |         0.7797 ± 0         | 0.7797 ± 0  |         0.8015 ± 0         |         0.676 ± 0          |         0.3776 ± 0         |
| Bin25  |         0.7225 ± 0         | 0.7225 ± 0  |         0.865 ± 0          |         0.6224 ± 0         |         0.4118 ± 0         |
| Bin26  |         0.6856 ± 0         | 0.6856 ± 0  |         0.9711 ± 0         |         0.5882 ± 0         |         0.4704 ± 0         |
| Bin27  |         0.6218 ± 0         | 0.6218 ± 0  |         0.9966 ± 0         |         0.5296 ± 0         |         0.4848 ± 0         |
| Bin28  |         0.6061 ± 0         | 0.6061 ± 0  |         1.035 ± 0          |         0.5152 ± 0         |         0.5063 ± 0         |
