+--------+-----------------+--------------------+-------------------+-------------------+-------------------+----------------------+----------------------+--------------------+--------+--------+---------------------------+
| Bin#   | background_qcd  |  background_ttbar  | background_Wjets  | background_Zjets  | background_VV_VH  | background_rare_EWK  | background_rare_top  |       Total        |  data  | Ratio  | signal_vbsvvh [1000.00x]  |
|--------+-----------------+--------------------+-------------------+-------------------+-------------------+----------------------+----------------------+--------------------+--------+--------+---------------------------+
| Bin0   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |           0 ± 0           |
| Bin1   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       4.628 ± 1.725       |
| Bin2   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       6.695 ± 2.287       |
| Bin3   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       11.71 ± 2.644       |
| Bin4   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       12.33 ± 2.884       |
| Bin5   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       17.66 ± 4.371       |
| Bin6   |      0 ± 0      | 0.07908 ± 0.07908  |       0 ± 0       |       0 ± 0       |       0 ± 0       |  0.05657 ± 0.05657   |        0 ± 0         |  0.1357 ± 0.09723  | 0 ± 0  | 0 ± 0  |       21.67 ± 4.092       |
| Bin7   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       11.72 ± 3.157       |
| Bin8   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       24.22 ± 4.468       |
| Bin9   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |  0.05649 ± 0.05649   |        0 ± 0         | 0.05649 ± 0.05649  | 0 ± 0  | 0 ± 0  |       18.62 ± 3.576       |
| Bin10  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       13.88 ± 3.077       |
| Bin11  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       18.72 ± 4.345       |
| Bin12  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       7.707 ± 2.323       |
| Bin13  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       15.72 ± 3.845       |
| Bin14  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       6.261 ± 1.645       |
| Bin15  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       6.787 ± 2.031       |
| Bin16  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       4.84 ± 1.657        |
| Bin17  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       15.22 ± 3.976       |
| Bin18  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       11.29 ± 2.556       |
