+--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.49 (210.00)  | #rightarrow 0.97 (20.00)  | #leftarrow 0.98 (800.00)  |
|--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
| Bin0   |          0 ± 0           |    0 ± 0    |           0 ± 0           |           0 ± 0           |           0 ± 0           |
| Bin1   |          1 ± 0           |    1 ± 0    |           0 ± 0           |           1 ± 0           |        0.01371 ± 0        |
| Bin2   |        0.9875 ± 0        | 0.9875 ± 0  |           0 ± 0           |        0.9863 ± 0         |        0.03354 ± 0        |
| Bin3   |        0.9693 ± 0        | 0.9693 ± 0  |           0 ± 0           |        0.9665 ± 0         |        0.06824 ± 0        |
| Bin4   |        0.9374 ± 0        | 0.9374 ± 0  |           0 ± 0           |        0.9318 ± 0         |        0.1048 ± 0         |
| Bin5   |        0.9036 ± 0        | 0.9036 ± 0  |           0 ± 0           |        0.8952 ± 0         |        0.1571 ± 0         |
| Bin6   |        0.8548 ± 0        | 0.8548 ± 0  |         0.415 ± 0         |        0.8429 ± 0         |        0.2213 ± 0         |
| Bin7   |        0.9284 ± 0        | 0.9284 ± 0  |        0.4751 ± 0         |        0.7787 ± 0         |         0.256 ± 0         |
| Bin8   |        0.8908 ± 0        | 0.8908 ± 0  |         0.596 ± 0         |         0.744 ± 0         |        0.3278 ± 0         |
| Bin9   |        0.8122 ± 0        | 0.8122 ± 0  |        0.5946 ± 0         |        0.6722 ± 0         |        0.3829 ± 0         |
| Bin10  |        0.8188 ± 0        | 0.8188 ± 0  |         0.653 ± 0         |        0.6171 ± 0         |         0.424 ± 0         |
| Bin11  |        0.769 ± 0         |  0.769 ± 0  |        0.7305 ± 0         |         0.576 ± 0         |        0.4795 ± 0         |
| Bin12  |        0.701 ± 0         |  0.701 ± 0  |         0.762 ± 0         |        0.5205 ± 0         |        0.5023 ± 0         |
| Bin13  |        0.6727 ± 0        | 0.6727 ± 0  |        0.8254 ± 0         |        0.4977 ± 0         |        0.5489 ± 0         |
| Bin14  |        0.6144 ± 0        | 0.6144 ± 0  |        0.8504 ± 0         |        0.4511 ± 0         |        0.5675 ± 0         |
| Bin15  |        0.591 ± 0         |  0.591 ± 0  |        0.8774 ± 0         |        0.4325 ± 0         |        0.5876 ± 0         |
| Bin16  |        0.5654 ± 0        | 0.5654 ± 0  |        0.8965 ± 0         |        0.4124 ± 0         |        0.6019 ± 0         |
| Bin17  |        0.5471 ± 0        | 0.5471 ± 0  |        0.9561 ± 0         |        0.3981 ± 0         |         0.647 ± 0         |
| Bin18  |        0.489 ± 0         |  0.489 ± 0  |        0.9998 ± 0         |         0.353 ± 0         |        0.6804 ± 0         |
| Bin19  |        0.4453 ± 0        | 0.4453 ± 0  |         1.029 ± 0         |        0.3196 ± 0         |        0.7029 ± 0         |
| Bin20  |        0.4157 ± 0        | 0.4157 ± 0  |         1.074 ± 0         |        0.2971 ± 0         |        0.7383 ± 0         |
| Bin21  |        0.3686 ± 0        | 0.3686 ± 0  |         1.08 ± 0          |        0.2617 ± 0         |        0.7428 ± 0         |
| Bin22  |        0.3625 ± 0        | 0.3625 ± 0  |        0.8193 ± 0         |        0.2572 ± 0         |        0.7497 ± 0         |
| Bin23  |        0.7057 ± 0        | 0.7057 ± 0  |        0.8282 ± 0         |        0.2503 ± 0         |        0.7585 ± 0         |
| Bin24  |        0.6844 ± 0        | 0.6844 ± 0  |         0.834 ± 0         |        0.2415 ± 0         |        0.7643 ± 0         |
| Bin25  |        0.6704 ± 0        | 0.6704 ± 0  |        0.8423 ± 0         |        0.2357 ± 0         |        0.7725 ± 0         |
| Bin26  |        0.6503 ± 0        | 0.6503 ± 0  |        0.8575 ± 0         |        0.2275 ± 0         |        0.7877 ± 0         |
| Bin27  |        0.6128 ± 0        | 0.6128 ± 0  |        0.8693 ± 0         |        0.2123 ± 0         |        0.7995 ± 0         |
