+--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.46 (420.00)  | #rightarrow 0.96 (40.00)  | #leftarrow 0.98 (920.00)  |
|--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
| Bin0   |          0 ± 0           |    0 ± 0    |           0 ± 0           |           0 ± 0           |           0 ± 0           |
| Bin1   |          1 ± 0           |    1 ± 0    |           0 ± 0           |           1 ± 0           |        0.01184 ± 0        |
| Bin2   |        0.9892 ± 0        | 0.9892 ± 0  |           0 ± 0           |        0.9882 ± 0         |        0.04336 ± 0        |
| Bin3   |        0.9603 ± 0        | 0.9603 ± 0  |           0 ± 0           |        0.9566 ± 0         |        0.09084 ± 0        |
| Bin4   |        0.9165 ± 0        | 0.9165 ± 0  |           0 ± 0           |        0.9092 ± 0         |        0.1719 ± 0         |
| Bin5   |        0.841 ± 0         |  0.841 ± 0  |        0.6712 ± 0         |        0.8281 ± 0         |        0.2614 ± 0         |
| Bin6   |        0.8027 ± 0        | 0.8027 ± 0  |        0.6687 ± 0         |        0.7386 ± 0         |        0.3511 ± 0         |
| Bin7   |        0.7627 ± 0        | 0.7627 ± 0  |        0.8442 ± 0         |        0.6489 ± 0         |        0.4569 ± 0         |
| Bin8   |        0.6469 ± 0        | 0.6469 ± 0  |        0.9192 ± 0         |        0.5431 ± 0         |        0.5037 ± 0         |
| Bin9   |        0.5948 ± 0        | 0.5948 ± 0  |        0.6791 ± 0         |        0.4963 ± 0         |        0.5637 ± 0         |
| Bin10  |        0.7841 ± 0        | 0.7841 ± 0  |        0.7717 ± 0         |        0.4363 ± 0         |        0.6475 ± 0         |
| Bin11  |        0.6482 ± 0        | 0.6482 ± 0  |        0.8331 ± 0         |        0.3525 ± 0         |        0.7039 ± 0         |
| Bin12  |        0.5536 ± 0        | 0.5536 ± 0  |        0.8603 ± 0         |        0.2961 ± 0         |        0.7291 ± 0         |
| Bin13  |        0.5104 ± 0        | 0.5104 ± 0  |        0.8893 ± 0         |        0.2709 ± 0         |        0.7561 ± 0         |
| Bin14  |        0.4634 ± 0        | 0.4634 ± 0  |        0.9068 ± 0         |        0.2439 ± 0         |        0.7725 ± 0         |
| Bin15  |        0.4346 ± 0        | 0.4346 ± 0  |        0.9299 ± 0         |        0.2275 ± 0         |        0.7942 ± 0         |
| Bin16  |        0.396 ± 0         |  0.396 ± 0  |         0.94 ± 0          |        0.2058 ± 0         |        0.8037 ± 0         |
| Bin17  |        0.3789 ± 0        | 0.3789 ± 0  |         0.964 ± 0         |        0.1963 ± 0         |        0.8264 ± 0         |
| Bin18  |        0.3377 ± 0        | 0.3377 ± 0  |        0.9825 ± 0         |        0.1736 ± 0         |         0.844 ± 0         |
| Bin19  |        0.3053 ± 0        | 0.3053 ± 0  |        0.9968 ± 0         |         0.156 ± 0         |        0.8576 ± 0         |
| Bin20  |         0.28 ± 0         |  0.28 ± 0   |           1 ± 0           |        0.1424 ± 0         |        0.8607 ± 0         |
| Bin21  |        0.2744 ± 0        | 0.2744 ± 0  |         1.007 ± 0         |        0.1393 ± 0         |        0.8672 ± 0         |
| Bin22  |        0.2621 ± 0        | 0.2621 ± 0  |        0.9388 ± 0         |        0.1328 ± 0         |        0.8888 ± 0         |
| Bin23  |        0.3454 ± 0        | 0.3454 ± 0  |        0.9068 ± 0         |        0.1112 ± 0         |        0.8987 ± 0         |
| Bin24  |          0 ± 0           |    0 ± 0    |        0.9149 ± 0         |        0.1013 ± 0         |        0.9075 ± 0         |
| Bin25  |          0 ± 0           |    0 ± 0    |        0.9208 ± 0         |        0.09255 ± 0        |        0.9138 ± 0         |
| Bin26  |          0 ± 0           |    0 ± 0    |        0.9304 ± 0         |        0.08622 ± 0        |        0.9242 ± 0         |
| Bin27  |          0 ± 0           |    0 ± 0    |        0.9349 ± 0         |        0.07576 ± 0        |        0.9291 ± 0         |
