+--------+--------------------------+-------------+----------------------------+-----------------------------+----------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.46 (6000.00)  | #rightarrow 0.98 (2175.00)  | #leftarrow 0.98 (4650.00)  |
|--------+--------------------------+-------------+----------------------------+-----------------------------+----------------------------+
| Bin0   |          0 ± 0           |    0 ± 0    |           0 ± 0            |            0 ± 0            |           0 ± 0            |
| Bin1   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin2   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin3   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin4   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin5   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin6   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin7   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin8   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin9   |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin10  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin11  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin12  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin13  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin14  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin15  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin16  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin17  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin18  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin19  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin20  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |           0 ± 0            |
| Bin21  |          1 ± 0           |    1 ± 0    |           0 ± 0            |            1 ± 0            |        0.003385 ± 0        |
| Bin22  |        0.9969 ± 0        | 0.9969 ± 0  |           0 ± 0            |         0.9966 ± 0          |        0.003385 ± 0        |
| Bin23  |        0.9969 ± 0        | 0.9969 ± 0  |           0 ± 0            |         0.9966 ± 0          |        0.01148 ± 0         |
| Bin24  |        0.9895 ± 0        | 0.9895 ± 0  |           0 ± 0            |         0.9885 ± 0          |        0.01148 ± 0         |
| Bin25  |        0.9895 ± 0        | 0.9895 ± 0  |           0 ± 0            |         0.9885 ± 0          |        0.01576 ± 0         |
| Bin26  |        0.9856 ± 0        | 0.9856 ± 0  |           0 ± 0            |         0.9842 ± 0          |        0.01639 ± 0         |
| Bin27  |        0.985 ± 0         |  0.985 ± 0  |           0 ± 0            |         0.9836 ± 0          |        0.01639 ± 0         |
| Bin28  |        0.985 ± 0         |  0.985 ± 0  |           0 ± 0            |         0.9836 ± 0          |        0.01639 ± 0         |
| Bin29  |        0.985 ± 0         |  0.985 ± 0  |           0 ± 0            |         0.9836 ± 0          |        0.02284 ± 0         |
| Bin30  |        0.9791 ± 0        | 0.9791 ± 0  |           0 ± 0            |         0.9772 ± 0          |        0.02861 ± 0         |
| Bin31  |        0.9738 ± 0        | 0.9738 ± 0  |           0 ± 0            |         0.9714 ± 0          |        0.03986 ± 0         |
