+---------+--------------------------+------------+-------------------------+--------------------------+-------------------------+
| Bin#    | #rightarrow 0.63 (0.96)  |   Total    | #leftarrow 0.22 (1.00)  | #rightarrow 0.98 (0.18)  | #leftarrow 0.91 (0.99)  |
|---------+--------------------------+------------+-------------------------+--------------------------+-------------------------+
| Bin0    |          0 ± 0           |   0 ± 0    |          0 ± 0          |          0 ± 0           |          0 ± 0          |
| Bin1    |          1 ± 0           |   1 ± 0    |       0.00694 ± 0       |          1 ± 0           |      0.0001902 ± 0      |
| Bin2    |          1 ± 0           |   1 ± 0    |      0.009479 ± 0       |        0.9998 ± 0        |      0.0006899 ± 0      |
| Bin3    |        1.002 ± 0         | 1.002 ± 0  |      0.006792 ± 0       |        0.9993 ± 0        |      0.001288 ± 0       |
| Bin4    |        1.017 ± 0         | 1.017 ± 0  |      0.008718 ± 0       |        0.9987 ± 0        |      0.002692 ± 0       |
| Bin5    |        1.049 ± 0         | 1.049 ± 0  |       0.01044 ± 0       |        0.9973 ± 0        |      0.004578 ± 0       |
| Bin6    |        1.108 ± 0         | 1.108 ± 0  |       0.01185 ± 0       |        0.9954 ± 0        |      0.006182 ± 0       |
| Bin7    |        1.165 ± 0         | 1.165 ± 0  |       0.01462 ± 0       |        0.9938 ± 0        |      0.008534 ± 0       |
| Bin8    |        1.221 ± 0         | 1.221 ± 0  |       0.01512 ± 0       |        0.9915 ± 0        |      0.009436 ± 0       |
| Bin9    |        1.268 ± 0         | 1.268 ± 0  |       0.01631 ± 0       |        0.9906 ± 0        |       0.01073 ± 0       |
| Bin10   |        1.313 ± 0         | 1.313 ± 0  |       0.01818 ± 0       |        0.9893 ± 0        |       0.01222 ± 0       |
| Bin11   |        1.334 ± 0         | 1.334 ± 0  |       0.01931 ± 0       |        0.9878 ± 0        |       0.01319 ± 0       |
| Bin12   |        1.351 ± 0         | 1.351 ± 0  |       0.02017 ± 0       |        0.9868 ± 0        |       0.01396 ± 0       |
| Bin13   |        1.366 ± 0         | 1.366 ± 0  |       0.02114 ± 0       |        0.986 ± 0         |       0.01481 ± 0       |
| Bin14   |        1.381 ± 0         | 1.381 ± 0  |       0.02275 ± 0       |        0.9852 ± 0        |       0.01607 ± 0       |
| Bin15   |         1.39 ± 0         |  1.39 ± 0  |       0.02486 ± 0       |        0.9839 ± 0        |       0.01767 ± 0       |
| Bin16   |        1.396 ± 0         | 1.396 ± 0  |       0.02651 ± 0       |        0.9823 ± 0        |       0.01899 ± 0       |
| Bin17   |        1.406 ± 0         | 1.406 ± 0  |       0.02753 ± 0       |        0.981 ± 0         |       0.01981 ± 0       |
| Bin18   |        1.412 ± 0         | 1.412 ± 0  |       0.02948 ± 0       |        0.9802 ± 0        |       0.0214 ± 0        |
| Bin19   |        1.423 ± 0         | 1.423 ± 0  |       0.0326 ± 0        |        0.9786 ± 0        |       0.02374 ± 0       |
| Bin20   |        1.424 ± 0         | 1.424 ± 0  |       0.0341 ± 0        |        0.9763 ± 0        |       0.02516 ± 0       |
| Bin21   |        1.444 ± 0         | 1.444 ± 0  |       0.03589 ± 0       |        0.9748 ± 0        |       0.02694 ± 0       |
| Bin22   |        1.473 ± 0         | 1.473 ± 0  |       0.03833 ± 0       |        0.9731 ± 0        |       0.02887 ± 0       |
| Bin23   |        1.477 ± 0         | 1.477 ± 0  |       0.0411 ± 0        |        0.9711 ± 0        |       0.03118 ± 0       |
| Bin24   |        1.488 ± 0         | 1.488 ± 0  |       0.04279 ± 0       |        0.9688 ± 0        |       0.03266 ± 0       |
| Bin25   |        1.497 ± 0         | 1.497 ± 0  |       0.0454 ± 0        |        0.9673 ± 0        |       0.03515 ± 0       |
| Bin26   |        1.524 ± 0         | 1.524 ± 0  |       0.04855 ± 0       |        0.9649 ± 0        |       0.03769 ± 0       |
| Bin27   |        1.526 ± 0         | 1.526 ± 0  |       0.0516 ± 0        |        0.9623 ± 0        |       0.0403 ± 0        |
