+--------+----------------------------+-------------+--------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-10.00)  |    Total    | #leftarrow 0.46 (10.00)  | #rightarrow 0.95 (-8.50)  | #leftarrow 0.94 (8.50)  |
|--------+----------------------------+-------------+--------------------------+---------------------------+-------------------------+
| Bin0   |           0 ± 0            |    0 ± 0    |          0 ± 0           |           0 ± 0           |          0 ± 0          |
| Bin1   |           1 ± 0            |    1 ± 0    |          0 ± 0           |           1 ± 0           |          0 ± 0          |
| Bin2   |           1 ± 0            |    1 ± 0    |          0 ± 0           |           1 ± 0           |          0 ± 0          |
| Bin3   |           1 ± 0            |    1 ± 0    |          0 ± 0           |           1 ± 0           |          0 ± 0          |
| Bin4   |           1 ± 0            |    1 ± 0    |          0 ± 0           |           1 ± 0           |      0.009102 ± 0       |
| Bin5   |         0.9917 ± 0         | 0.9917 ± 0  |          0 ± 0           |        0.9909 ± 0         |       0.0168 ± 0        |
| Bin6   |         0.9846 ± 0         | 0.9846 ± 0  |          0 ± 0           |        0.9832 ± 0         |       0.04695 ± 0       |
| Bin7   |         0.957 ± 0          |  0.957 ± 0  |          0 ± 0           |        0.9531 ± 0         |       0.09031 ± 0       |
| Bin8   |         0.917 ± 0          |  0.917 ± 0  |          0 ± 0           |        0.9097 ± 0         |       0.1305 ± 0        |
| Bin9   |         0.8796 ± 0         | 0.8796 ± 0  |          0 ± 0           |        0.8695 ± 0         |       0.2054 ± 0        |
| Bin10  |         0.8094 ± 0         | 0.8094 ± 0  |          0 ± 0           |        0.7946 ± 0         |       0.2932 ± 0        |
| Bin11  |         0.726 ± 0          |  0.726 ± 0  |        0.9266 ± 0        |        0.7068 ± 0         |       0.4376 ± 0        |
| Bin12  |         0.6398 ± 0         | 0.6398 ± 0  |        0.9871 ± 0        |        0.5624 ± 0         |       0.4714 ± 0        |
| Bin13  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin14  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin15  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin16  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin17  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin18  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin19  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin20  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin21  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin22  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin23  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin24  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin25  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin26  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin27  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
