+--------+--------------------------+---------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |     Total     | #leftarrow 0.56 (134.38)  | #rightarrow 0.97 (71.88)  | #leftarrow 0.97 (140.62)  |
|--------+--------------------------+---------------+---------------------------+---------------------------+---------------------------+
| Bin0   |          0 ± 0           |     0 ± 0     |           0 ± 0           |           0 ± 0           |           0 ± 0           |
| Bin1   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin2   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin3   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin4   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin5   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin6   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin7   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin8   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin9   |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin10  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin11  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin12  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin13  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin14  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin15  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin16  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin17  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin18  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin19  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin20  |          1 ± 0           |     1 ± 0     |           0 ± 0           |           1 ± 0           |       0.004652 ± 0        |
| Bin21  |        0.9958 ± 0        |  0.9958 ± 0   |           0 ± 0           |        0.9953 ± 0         |       0.004652 ± 0        |
| Bin22  |        0.9958 ± 0        |  0.9958 ± 0   |           0 ± 0           |        0.9953 ± 0         |       0.005891 ± 0        |
| Bin23  |        0.9946 ± 0        |  0.9946 ± 0   |           0 ± 0           |        0.9941 ± 0         |        0.02767 ± 0        |
| Bin24  |        0.9747 ± 0        |  0.9747 ± 0   |           0 ± 0           |        0.9723 ± 0         |        0.06664 ± 0        |
| Bin25  |        0.9388 ± 0        |  0.9388 ± 0   |           0 ± 0           |        0.9334 ± 0         |        0.1274 ± 0         |
| Bin26  |        0.8825 ± 0        |  0.8825 ± 0   |           0 ± 0           |        0.8726 ± 0         |        0.1827 ± 0         |
| Bin27  |        0.8308 ± 0        |  0.8308 ± 0   |           0 ± 0           |        0.8173 ± 0         |        0.2473 ± 0         |
| Bin28  |        0.7698 ± 0        |  0.7698 ± 0   |           0 ± 0           |        0.7527 ± 0         |        0.3531 ± 0         |
| Bin29  |        0.6683 ± 0        |  0.6683 ± 0   |           0 ± 0           |        0.6469 ± 0         |        0.4099 ± 0         |
| Bin30  |        0.613 ± 0         |   0.613 ± 0   |           0 ± 0           |        0.5901 ± 0         |        0.4693 ± 0         |
| Bin31  |        0.5547 ± 0        |  0.5547 ± 0   |           0 ± 0           |        0.5307 ± 0         |        0.4978 ± 0         |
