+--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.48 (59.38)  |    Total     | #leftarrow 0.74 (118.75)  | #rightarrow 0.96 (62.50)  | #leftarrow 0.98 (146.88)  |
|--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
| Bin0   |           0 ± 0           |    0 ± 0     |           0 ± 0           |           0 ± 0           |           0 ± 0           |
| Bin1   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin2   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin3   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin4   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin5   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin6   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin7   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin8   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin9   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin10  |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin11  |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin12  |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin13  |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |       0.004038 ± 0        |
| Bin14  |        0.9963 ± 0         |  0.9963 ± 0  |           0 ± 0           |         0.996 ± 0         |       0.005123 ± 0        |
| Bin15  |        0.9953 ± 0         |  0.9953 ± 0  |           0 ± 0           |        0.9949 ± 0         |       0.005123 ± 0        |
| Bin16  |        0.9953 ± 0         |  0.9953 ± 0  |           0 ± 0           |        0.9949 ± 0         |        0.01012 ± 0        |
| Bin17  |        0.9908 ± 0         |  0.9908 ± 0  |           0 ± 0           |        0.9899 ± 0         |        0.0111 ± 0         |
| Bin18  |        0.9899 ± 0         |  0.9899 ± 0  |           0 ± 0           |        0.9889 ± 0         |        0.01496 ± 0        |
| Bin19  |        0.9863 ± 0         |  0.9863 ± 0  |        0.05413 ± 0        |         0.985 ± 0         |        0.01783 ± 0        |
| Bin20  |         1.041 ± 0         |  1.041 ± 0   |        0.1061 ± 0         |        0.9822 ± 0         |        0.0355 ± 0         |
| Bin21  |         1.024 ± 0         |  1.024 ± 0   |         0.181 ± 0         |        0.9645 ± 0         |        0.06194 ± 0        |
| Bin22  |         0.999 ± 0         |  0.999 ± 0   |        0.2441 ± 0         |        0.9381 ± 0         |        0.08504 ± 0        |
| Bin23  |        0.9766 ± 0         |  0.9766 ± 0  |        0.3253 ± 0         |         0.915 ± 0         |        0.1159 ± 0         |
| Bin24  |        0.9465 ± 0         |  0.9465 ± 0  |        0.3966 ± 0         |        0.8841 ± 0         |         0.144 ± 0         |
| Bin25  |        0.9191 ± 0         |  0.9191 ± 0  |         0.586 ± 0         |         0.856 ± 0         |         0.223 ± 0         |
| Bin26  |         0.841 ± 0         |  0.841 ± 0   |        0.6789 ± 0         |         0.777 ± 0         |         0.264 ± 0         |
| Bin27  |          0.8 ± 0          |   0.8 ± 0    |        0.7982 ± 0         |         0.736 ± 0         |        0.3188 ± 0         |
| Bin28  |        0.7448 ± 0         |  0.7448 ± 0  |        0.9468 ± 0         |        0.6812 ± 0         |        0.3903 ± 0         |
| Bin29  |        0.6718 ± 0         |  0.6718 ± 0  |         1.138 ± 0         |        0.6097 ± 0         |        0.4874 ± 0         |
