+--------+--------------------------+-------------+----------------------------+----------------------------+----------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.49 (1725.00)  | #rightarrow 0.98 (562.50)  | #leftarrow 0.98 (2250.00)  |
|--------+--------------------------+-------------+----------------------------+----------------------------+----------------------------+
| Bin0   |          0 ± 0           |    0 ± 0    |           0 ± 0            |           0 ± 0            |           0 ± 0            |
| Bin1   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin2   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin3   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin4   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin5   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin6   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin7   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin8   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |           0 ± 0            |
| Bin9   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0            |        0.005601 ± 0        |
| Bin10  |        0.9949 ± 0        | 0.9949 ± 0  |           0 ± 0            |         0.9944 ± 0         |        0.005601 ± 0        |
| Bin11  |        0.9949 ± 0        | 0.9949 ± 0  |           0 ± 0            |         0.9944 ± 0         |        0.007749 ± 0        |
| Bin12  |        0.9929 ± 0        | 0.9929 ± 0  |           0 ± 0            |         0.9923 ± 0         |        0.007749 ± 0        |
| Bin13  |        0.9929 ± 0        | 0.9929 ± 0  |           0 ± 0            |         0.9923 ± 0         |        0.007749 ± 0        |
| Bin14  |        0.9929 ± 0        | 0.9929 ± 0  |           0 ± 0            |         0.9923 ± 0         |        0.01621 ± 0         |
| Bin15  |        0.9852 ± 0        | 0.9852 ± 0  |           0 ± 0            |         0.9838 ± 0         |        0.02429 ± 0         |
| Bin16  |        0.9778 ± 0        | 0.9778 ± 0  |           0 ± 0            |         0.9757 ± 0         |        0.02429 ± 0         |
| Bin17  |        0.9778 ± 0        | 0.9778 ± 0  |           0 ± 0            |         0.9757 ± 0         |        0.02429 ± 0         |
| Bin18  |        0.9778 ± 0        | 0.9778 ± 0  |           0 ± 0            |         0.9757 ± 0         |        0.02888 ± 0         |
| Bin19  |        0.9736 ± 0        | 0.9736 ± 0  |           0 ± 0            |         0.9711 ± 0         |        0.04054 ± 0         |
| Bin20  |        0.9629 ± 0        | 0.9629 ± 0  |           0 ± 0            |         0.9595 ± 0         |        0.04423 ± 0         |
| Bin21  |        0.9595 ± 0        | 0.9595 ± 0  |           0 ± 0            |         0.9558 ± 0         |        0.05436 ± 0         |
| Bin22  |        0.9502 ± 0        | 0.9502 ± 0  |           0 ± 0            |         0.9456 ± 0         |        0.08377 ± 0         |
| Bin23  |        0.923 ± 0         |  0.923 ± 0  |           0 ± 0            |         0.9162 ± 0         |        0.09167 ± 0         |
| Bin24  |        0.9157 ± 0        | 0.9157 ± 0  |           0 ± 0            |         0.9083 ± 0         |         0.1007 ± 0         |
| Bin25  |        0.9074 ± 0        | 0.9074 ± 0  |           0 ± 0            |         0.8993 ± 0         |         0.116 ± 0          |
| Bin26  |        0.8932 ± 0        | 0.8932 ± 0  |           0 ± 0            |         0.884 ± 0          |         0.1487 ± 0         |
| Bin27  |        0.8627 ± 0        | 0.8627 ± 0  |           0 ± 0            |         0.8513 ± 0         |         0.1745 ± 0         |
| Bin28  |        0.8385 ± 0        | 0.8385 ± 0  |         0.4382 ± 0         |         0.8255 ± 0         |         0.1874 ± 0         |
| Bin29  |        0.899 ± 0         |  0.899 ± 0  |         0.4565 ± 0         |         0.8126 ± 0         |         0.1961 ± 0         |
