+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-6.00)  |    Total    | #leftarrow 0.57 (3.60)  | #rightarrow 0.97 (-4.35)  | #leftarrow 0.95 (4.35)  |
|--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin0   |           0 ± 0           |    0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
| Bin1   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin2   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin3   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin4   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin5   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin6   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin7   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin8   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin9   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |      0.002769 ± 0       |
| Bin10  |        0.9975 ± 0         | 0.9975 ± 0  |          0 ± 0          |        0.9972 ± 0         |       0.01043 ± 0       |
| Bin11  |        0.9905 ± 0         | 0.9905 ± 0  |          0 ± 0          |        0.9896 ± 0         |       0.02982 ± 0       |
| Bin12  |        0.9727 ± 0         | 0.9727 ± 0  |          0 ± 0          |        0.9702 ± 0         |       0.0603 ± 0        |
| Bin13  |        0.9447 ± 0         | 0.9447 ± 0  |       0.2958 ± 0        |        0.9397 ± 0         |       0.1224 ± 0        |
| Bin14  |        0.9642 ± 0         | 0.9642 ± 0  |       0.4675 ± 0        |        0.8776 ± 0         |       0.2012 ± 0        |
| Bin15  |         0.885 ± 0         |  0.885 ± 0  |       0.5941 ± 0        |        0.7988 ± 0         |       0.2628 ± 0        |
| Bin16  |        0.8222 ± 0         | 0.8222 ± 0  |       0.6851 ± 0        |        0.7372 ± 0         |       0.3088 ± 0        |
| Bin17  |        0.7749 ± 0         | 0.7749 ± 0  |       0.7855 ± 0        |        0.6912 ± 0         |       0.3611 ± 0        |
| Bin18  |        0.7204 ± 0         | 0.7204 ± 0  |       0.8379 ± 0        |        0.6389 ± 0         |       0.3892 ± 0        |
| Bin19  |         0.691 ± 0         |  0.691 ± 0  |       0.8845 ± 0        |        0.6108 ± 0         |       0.4145 ± 0        |
| Bin20  |        0.6644 ± 0         | 0.6644 ± 0  |       0.9442 ± 0        |        0.5855 ± 0         |       0.4474 ± 0        |
| Bin21  |        0.6294 ± 0         | 0.6294 ± 0  |       0.9665 ± 0        |        0.5526 ± 0         |       0.4598 ± 0        |
| Bin22  |        0.6162 ± 0         | 0.6162 ± 0  |       0.9871 ± 0        |        0.5402 ± 0         |       0.4714 ± 0        |
| Bin23  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin24  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin25  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin26  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin27  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin28  |        0.6038 ± 0         | 0.6038 ± 0  |       0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
