+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-6.00)  |    Total    | #leftarrow 0.46 (6.00)  | #rightarrow 0.98 (-2.85)  | #leftarrow 0.97 (2.85)  |
|--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin0   |           0 ± 0           |    0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
| Bin1   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin2   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin3   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin4   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin5   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin6   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin7   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin8   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin9   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin10  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin11  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin12  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin13  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin14  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin15  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin16  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin17  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin18  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin19  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin20  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |       0.01109 ± 0       |
| Bin21  |        0.9899 ± 0         | 0.9899 ± 0  |          0 ± 0          |        0.9889 ± 0         |       0.02112 ± 0       |
| Bin22  |        0.9807 ± 0         | 0.9807 ± 0  |          0 ± 0          |        0.9789 ± 0         |       0.05673 ± 0       |
| Bin23  |         0.948 ± 0         |  0.948 ± 0  |          0 ± 0          |        0.9433 ± 0         |       0.06379 ± 0       |
| Bin24  |        0.9415 ± 0         | 0.9415 ± 0  |          0 ± 0          |        0.9362 ± 0         |       0.08038 ± 0       |
| Bin25  |        0.9262 ± 0         | 0.9262 ± 0  |          0 ± 0          |        0.9196 ± 0         |       0.1062 ± 0        |
| Bin26  |        0.9022 ± 0         | 0.9022 ± 0  |          0 ± 0          |        0.8938 ± 0         |       0.1261 ± 0        |
| Bin27  |        0.8838 ± 0         | 0.8838 ± 0  |          0 ± 0          |        0.8739 ± 0         |       0.1366 ± 0        |
| Bin28  |        0.8739 ± 0         | 0.8739 ± 0  |          0 ± 0          |        0.8634 ± 0         |       0.1517 ± 0        |
| Bin29  |        0.8598 ± 0         | 0.8598 ± 0  |          0 ± 0          |        0.8483 ± 0         |       0.1738 ± 0        |
| Bin30  |        0.8391 ± 0         | 0.8391 ± 0  |          0 ± 0          |        0.8262 ± 0         |       0.1855 ± 0        |
| Bin31  |        0.8281 ± 0         | 0.8281 ± 0  |          0 ± 0          |        0.8145 ± 0         |        0.194 ± 0        |
