+--------+---------------------------+------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.66 (78.12)  |   Total    | #leftarrow 0.46 (250.00)  | #rightarrow 0.97 (65.62)  | #leftarrow 0.98 (134.38)  |
|--------+---------------------------+------------+---------------------------+---------------------------+---------------------------+
| Bin0   |           0 ± 0           |   0 ± 0    |           0 ± 0           |           0 ± 0           |           0 ± 0           |
| Bin1   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin2   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin3   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin4   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin5   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin6   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin7   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin8   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin9   |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin10  |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin11  |           1 ± 0           |   1 ± 0    |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin12  |         1.27 ± 0          |  1.27 ± 0  |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin13  |         1.27 ± 0          |  1.27 ± 0  |       0.005564 ± 0        |           1 ± 0           |       0.003385 ± 0        |
| Bin14  |         1.267 ± 0         | 1.267 ± 0  |       0.005564 ± 0        |        0.9966 ± 0         |       0.003385 ± 0        |
| Bin15  |         1.267 ± 0         | 1.267 ± 0  |       0.005564 ± 0        |        0.9966 ± 0         |       0.003385 ± 0        |
| Bin16  |         1.267 ± 0         | 1.267 ± 0  |       0.005564 ± 0        |        0.9966 ± 0         |       0.003385 ± 0        |
| Bin17  |         1.267 ± 0         | 1.267 ± 0  |        0.01013 ± 0        |        0.9966 ± 0         |        0.00617 ± 0        |
| Bin18  |         1.264 ± 0         | 1.264 ± 0  |        0.01346 ± 0        |        0.9938 ± 0         |       0.008201 ± 0        |
| Bin19  |         1.261 ± 0         | 1.261 ± 0  |        0.01346 ± 0        |        0.9918 ± 0         |       0.008201 ± 0        |
| Bin20  |         1.261 ± 0         | 1.261 ± 0  |        0.03268 ± 0        |        0.9918 ± 0         |        0.01997 ± 0        |
| Bin21  |         1.248 ± 0         | 1.248 ± 0  |        0.0532 ± 0         |         0.98 ± 0          |        0.03263 ± 0        |
| Bin22  |         1.234 ± 0         | 1.234 ± 0  |        0.07543 ± 0        |        0.9674 ± 0         |        0.05482 ± 0        |
| Bin23  |         1.401 ± 0         | 1.401 ± 0  |        0.09529 ± 0        |        0.9452 ± 0         |        0.06945 ± 0        |
| Bin24  |         1.383 ± 0         | 1.383 ± 0  |        0.1417 ± 0         |        0.9305 ± 0         |         0.104 ± 0         |
| Bin25  |         1.339 ± 0         | 1.339 ± 0  |        0.2292 ± 0         |         0.896 ± 0         |        0.1863 ± 0         |
| Bin26  |         1.436 ± 0         | 1.436 ± 0  |         0.365 ± 0         |        0.8137 ± 0         |        0.3016 ± 0         |
| Bin27  |         1.265 ± 0         | 1.265 ± 0  |        0.4678 ± 0         |        0.6984 ± 0         |        0.4214 ± 0         |
| Bin28  |         1.403 ± 0         | 1.403 ± 0  |        0.6473 ± 0         |        0.5786 ± 0         |        0.5946 ± 0         |
| Bin29  |         1.055 ± 0         | 1.055 ± 0  |        0.7102 ± 0         |        0.4054 ± 0         |        0.6903 ± 0         |
