+--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (71.88)  |    Total     | #leftarrow 0.56 (118.75)  | #rightarrow 0.97 (53.12)  | #leftarrow 0.98 (128.12)  |
|--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
| Bin0   |           0 ± 0           |    0 ± 0     |           0 ± 0           |           0 ± 0           |           0 ± 0           |
| Bin1   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin2   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin3   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin4   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin5   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin6   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin7   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin8   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin9   |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin10  |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin11  |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin12  |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |           0 ± 0           |
| Bin13  |           1 ± 0           |    1 ± 0     |           0 ± 0           |           1 ± 0           |       0.007137 ± 0        |
| Bin14  |        0.9935 ± 0         |  0.9935 ± 0  |           0 ± 0           |        0.9929 ± 0         |        0.01052 ± 0        |
| Bin15  |        0.9904 ± 0         |  0.9904 ± 0  |           0 ± 0           |        0.9895 ± 0         |        0.01359 ± 0        |
| Bin16  |        0.9876 ± 0         |  0.9876 ± 0  |           0 ± 0           |        0.9864 ± 0         |        0.0196 ± 0         |
| Bin17  |        0.9821 ± 0         |  0.9821 ± 0  |           0 ± 0           |        0.9804 ± 0         |        0.02702 ± 0        |
| Bin18  |        0.9753 ± 0         |  0.9753 ± 0  |           0 ± 0           |         0.973 ± 0         |        0.04143 ± 0        |
| Bin19  |        0.9621 ± 0         |  0.9621 ± 0  |           0 ± 0           |        0.9586 ± 0         |        0.04847 ± 0        |
| Bin20  |        0.9556 ± 0         |  0.9556 ± 0  |           0 ± 0           |        0.9515 ± 0         |        0.07801 ± 0        |
| Bin21  |        0.9283 ± 0         |  0.9283 ± 0  |           0 ± 0           |         0.922 ± 0         |        0.09857 ± 0        |
| Bin22  |        0.9093 ± 0         |  0.9093 ± 0  |           0 ± 0           |        0.9014 ± 0         |        0.1139 ± 0         |
| Bin23  |        0.8951 ± 0         |  0.8951 ± 0  |        0.2802 ± 0         |        0.8861 ± 0         |        0.1489 ± 0         |
| Bin24  |         1.006 ± 0         |  1.006 ± 0   |        0.3829 ± 0         |        0.8511 ± 0         |        0.2074 ± 0         |
| Bin25  |        0.9434 ± 0         |  0.9434 ± 0  |        0.5845 ± 0         |        0.7926 ± 0         |         0.328 ± 0         |
| Bin26  |        0.8119 ± 0         |  0.8119 ± 0  |        0.6731 ± 0         |         0.672 ± 0         |        0.4481 ± 0         |
| Bin27  |        0.7396 ± 0         |  0.7396 ± 0  |        0.8583 ± 0         |        0.5519 ± 0         |        0.5864 ± 0         |
| Bin28  |        0.5669 ± 0         |  0.5669 ± 0  |        0.9031 ± 0         |        0.4136 ± 0         |        0.6804 ± 0         |
| Bin29  |        0.4865 ± 0         |  0.4865 ± 0  |        0.9862 ± 0         |        0.3196 ± 0         |        0.7506 ± 0         |
