+--------+--------------------------+-------------+----------------------------+---------------------------+----------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.46 (2000.00)  | #rightarrow 0.95 (50.00)  | #leftarrow 0.98 (1325.00)  |
|--------+--------------------------+-------------+----------------------------+---------------------------+----------------------------+
| Bin0   |          0 ± 0           |    0 ± 0    |           0 ± 0            |           0 ± 0           |           0 ± 0            |
| Bin1   |          1 ± 0           |    1 ± 0    |           0 ± 0            |           1 ± 0           |        0.01319 ± 0         |
| Bin2   |        0.9879 ± 0        | 0.9879 ± 0  |           0 ± 0            |        0.9868 ± 0         |        0.04861 ± 0         |
| Bin3   |        0.9555 ± 0        | 0.9555 ± 0  |         0.3403 ± 0         |        0.9514 ± 0         |         0.1083 ± 0         |
| Bin4   |        0.9416 ± 0        | 0.9416 ± 0  |         0.3402 ± 0         |        0.8917 ± 0         |         0.1578 ± 0         |
| Bin5   |        0.9533 ± 0        | 0.9533 ± 0  |         0.4889 ± 0         |        0.8422 ± 0         |         0.2336 ± 0         |
| Bin6   |        0.8748 ± 0        | 0.8748 ± 0  |         0.6588 ± 0         |        0.7664 ± 0         |         0.3252 ± 0         |
| Bin7   |        0.7784 ± 0        | 0.7784 ± 0  |         0.7993 ± 0         |        0.6748 ± 0         |         0.4047 ± 0         |
| Bin8   |        0.6934 ± 0        | 0.6934 ± 0  |         0.5748 ± 0         |        0.5953 ± 0         |         0.4583 ± 0         |
| Bin9   |        0.9155 ± 0        | 0.9155 ± 0  |         0.6192 ± 0         |        0.5417 ± 0         |         0.4963 ± 0         |
| Bin10  |        0.8587 ± 0        | 0.8587 ± 0  |         0.6706 ± 0         |        0.5037 ± 0         |         0.5408 ± 0         |
| Bin11  |        0.7913 ± 0        | 0.7913 ± 0  |         0.7012 ± 0         |        0.4592 ± 0         |         0.5675 ± 0         |
| Bin12  |        0.7501 ± 0        | 0.7501 ± 0  |         0.6706 ± 0         |        0.4325 ± 0         |         0.5858 ± 0         |
| Bin13  |        0.884 ± 0         |  0.884 ± 0  |         0.6783 ± 0         |        0.4142 ± 0         |         0.593 ± 0          |
| Bin14  |        0.8708 ± 0        | 0.8708 ± 0  |         0.6903 ± 0         |         0.407 ± 0         |         0.6043 ± 0         |
| Bin15  |        0.8501 ± 0        | 0.8501 ± 0  |         0.6956 ± 0         |        0.3957 ± 0         |         0.6093 ± 0         |
| Bin16  |        0.8408 ± 0        | 0.8408 ± 0  |         0.7134 ± 0         |        0.3907 ± 0         |         0.6261 ± 0         |
| Bin17  |        0.8094 ± 0        | 0.8094 ± 0  |         0.7184 ± 0         |        0.3739 ± 0         |         0.6309 ± 0         |
| Bin18  |        0.8006 ± 0        | 0.8006 ± 0  |         0.7288 ± 0         |        0.3691 ± 0         |         0.6407 ± 0         |
| Bin19  |        0.7821 ± 0        | 0.7821 ± 0  |         0.7353 ± 0         |        0.3593 ± 0         |         0.6469 ± 0         |
| Bin20  |        0.7703 ± 0        | 0.7703 ± 0  |         0.7528 ± 0         |        0.3531 ± 0         |         0.6635 ± 0         |
| Bin21  |        0.7386 ± 0        | 0.7386 ± 0  |         0.7735 ± 0         |        0.3365 ± 0         |         0.6832 ± 0         |
| Bin22  |        0.7006 ± 0        | 0.7006 ± 0  |         0.7932 ± 0         |        0.3168 ± 0         |         0.7021 ± 0         |
| Bin23  |        0.6638 ± 0        | 0.6638 ± 0  |         0.8114 ± 0         |        0.2979 ± 0         |         0.7197 ± 0         |
| Bin24  |        0.6292 ± 0        | 0.6292 ± 0  |         0.819 ± 0          |        0.2803 ± 0         |         0.727 ± 0          |
| Bin25  |        0.6145 ± 0        | 0.6145 ± 0  |         0.8325 ± 0         |         0.273 ± 0         |          0.74 ± 0          |
| Bin26  |        0.5886 ± 0        | 0.5886 ± 0  |         0.7828 ± 0         |         0.26 ± 0          |         0.7592 ± 0         |
