+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.49 (-3.30)  |    Total    | #leftarrow 0.46 (6.00)  | #rightarrow 0.95 (-4.50)  | #leftarrow 0.95 (4.50)  |
|--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin0   |           0 ± 0           |    0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
| Bin1   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin2   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin3   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin4   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin5   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin6   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin7   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin8   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin9   |           1 ± 0           |    1 ± 0    |       0.01186 ± 0       |           1 ± 0           |      0.003868 ± 0       |
| Bin10  |         1.055 ± 0         |  1.055 ± 0  |       0.1416 ± 0        |        0.9961 ± 0         |       0.04804 ± 0       |
| Bin11  |         1.012 ± 0         |  1.012 ± 0  |        0.314 ± 0        |         0.952 ± 0         |       0.1119 ± 0        |
| Bin12  |        0.9505 ± 0         | 0.9505 ± 0  |       0.5276 ± 0        |        0.8881 ± 0         |       0.1986 ± 0        |
| Bin13  |        0.8653 ± 0         | 0.8653 ± 0  |       0.6727 ± 0        |        0.8014 ± 0         |       0.2621 ± 0        |
| Bin14  |         0.802 ± 0         |  0.802 ± 0  |       0.8083 ± 0        |        0.7379 ± 0         |       0.3246 ± 0        |
| Bin15  |        0.7389 ± 0         | 0.7389 ± 0  |       0.7375 ± 0        |        0.6754 ± 0         |        0.373 ± 0        |
| Bin16  |        0.7274 ± 0         | 0.7274 ± 0  |       0.8592 ± 0        |         0.627 ± 0         |       0.4441 ± 0        |
| Bin17  |        0.6506 ± 0         | 0.6506 ± 0  |       0.7619 ± 0        |        0.5559 ± 0         |        0.47 ± 0         |
| Bin18  |        0.6737 ± 0         | 0.6737 ± 0  |        0.557 ± 0        |         0.53 ± 0          |        0.485 ± 0        |
| Bin19  |         1.064 ± 0         |  1.064 ± 0  |       0.5812 ± 0        |         0.515 ± 0         |       0.5075 ± 0        |
| Bin20  |         1.024 ± 0         |  1.024 ± 0  |       0.5901 ± 0        |        0.4925 ± 0         |       0.5158 ± 0        |
| Bin21  |         1.01 ± 0          |  1.01 ± 0   |        0.603 ± 0        |        0.4842 ± 0         |       0.5278 ± 0        |
| Bin22  |        0.9884 ± 0         | 0.9884 ± 0  |       0.6038 ± 0        |        0.4722 ± 0         |       0.5286 ± 0        |
| Bin23  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin24  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin25  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin26  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin27  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
| Bin28  |        0.9871 ± 0         | 0.9871 ± 0  |       0.6038 ± 0        |        0.4714 ± 0         |       0.5286 ± 0        |
