+--------+---------------------------+--------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-6.00)  |    Total     | #leftarrow 0.62 (0.15)  | #rightarrow 0.97 (-3.00)  | #leftarrow 0.98 (3.00)  |
|--------+---------------------------+--------------+-------------------------+---------------------------+-------------------------+
| Bin0   |           0 ± 0           |    0 ± 0     |          0 ± 0          |           0 ± 0           |          0 ± 0          |
| Bin1   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin2   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin3   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin4   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin5   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin6   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin7   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin8   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin9   |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin10  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin11  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin12  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin13  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin14  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin15  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin16  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin17  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin18  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin19  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin20  |           1 ± 0           |    1 ± 0     |          0 ± 0          |           1 ± 0           |       0.02867 ± 0       |
| Bin21  |        0.9738 ± 0         |  0.9738 ± 0  |          0 ± 0          |        0.9713 ± 0         |       0.04244 ± 0       |
| Bin22  |        0.9611 ± 0         |  0.9611 ± 0  |          0 ± 0          |        0.9576 ± 0         |       0.05353 ± 0       |
| Bin23  |        0.9509 ± 0         |  0.9509 ± 0  |          0 ± 0          |        0.9465 ± 0         |       0.06583 ± 0       |
| Bin24  |        0.9396 ± 0         |  0.9396 ± 0  |          0 ± 0          |        0.9342 ± 0         |       0.08157 ± 0       |
| Bin25  |        0.9251 ± 0         |  0.9251 ± 0  |          0 ± 0          |        0.9184 ± 0         |       0.09791 ± 0       |
| Bin26  |        0.9099 ± 0         |  0.9099 ± 0  |          0 ± 0          |        0.9021 ± 0         |       0.1283 ± 0        |
| Bin27  |        0.8817 ± 0         |  0.8817 ± 0  |          0 ± 0          |        0.8717 ± 0         |       0.1684 ± 0        |
| Bin28  |        0.8442 ± 0         |  0.8442 ± 0  |          0 ± 0          |        0.8316 ± 0         |       0.1771 ± 0        |
| Bin29  |        0.8361 ± 0         |  0.8361 ± 0  |          0 ± 0          |        0.8229 ± 0         |       0.2038 ± 0        |
| Bin30  |        0.8109 ± 0         |  0.8109 ± 0  |       0.6819 ± 0        |        0.7962 ± 0         |       0.2404 ± 0        |
| Bin31  |        0.8127 ± 0         |  0.8127 ± 0  |       0.7496 ± 0        |        0.7596 ± 0         |       0.2688 ± 0        |
