+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.70 (-2.25)  |    Total    | #leftarrow 0.46 (6.00)  | #rightarrow 0.96 (-2.85)  | #leftarrow 0.94 (2.85)  |
|--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin0   |           0 ± 0           |    0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
| Bin1   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin2   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin3   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin4   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin5   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin6   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin7   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin8   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin9   |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin10  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin11  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin12  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin13  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin14  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin15  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin16  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin17  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin18  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin19  |           1 ± 0           |    1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin20  |           1 ± 0           |    1 ± 0    |       0.0208 ± 0        |           1 ± 0           |       0.01269 ± 0       |
| Bin21  |         1.256 ± 0         |  1.256 ± 0  |       0.0671 ± 0        |        0.9873 ± 0         |       0.04125 ± 0       |
| Bin22  |         1.224 ± 0         |  1.224 ± 0  |       0.07916 ± 0       |        0.9588 ± 0         |       0.04876 ± 0       |
| Bin23  |         1.216 ± 0         |  1.216 ± 0  |        0.102 ± 0        |        0.9512 ± 0         |       0.07139 ± 0       |
| Bin24  |         1.317 ± 0         |  1.317 ± 0  |       0.1378 ± 0        |        0.9286 ± 0         |       0.09696 ± 0       |
| Bin25  |         1.286 ± 0         |  1.286 ± 0  |       0.1541 ± 0        |         0.903 ± 0         |        0.124 ± 0        |
| Bin26  |         1.525 ± 0         |  1.525 ± 0  |       0.1598 ± 0        |         0.876 ± 0         |       0.1288 ± 0        |
| Bin27  |         1.519 ± 0         |  1.519 ± 0  |       0.1647 ± 0        |        0.8712 ± 0         |       0.1327 ± 0        |
| Bin28  |         1.513 ± 0         |  1.513 ± 0  |       0.1865 ± 0        |        0.8673 ± 0         |       0.1508 ± 0        |
| Bin29  |         1.487 ± 0         |  1.487 ± 0  |        0.223 ± 0        |        0.8492 ± 0         |        0.181 ± 0        |
| Bin30  |         1.443 ± 0         |  1.443 ± 0  |        0.239 ± 0        |         0.819 ± 0         |       0.1945 ± 0        |
| Bin31  |         1.424 ± 0         |  1.424 ± 0  |       0.2609 ± 0        |        0.8055 ± 0         |       0.2129 ± 0        |
