+--------+---------------------------+------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.87 (-2.25)  |   Total    | #leftarrow 0.46 (6.00)  | #rightarrow 0.98 (-3.00)  | #leftarrow 0.96 (2.85)  |
|--------+---------------------------+------------+-------------------------+---------------------------+-------------------------+
| Bin0   |           0 ± 0           |   0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
| Bin1   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin2   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin3   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin4   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin5   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin6   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin7   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin8   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin9   |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin10  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin11  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin12  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin13  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin14  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin15  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin16  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin17  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin18  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin19  |           1 ± 0           |   1 ± 0    |          0 ± 0          |           1 ± 0           |          0 ± 0          |
| Bin20  |           1 ± 0           |   1 ± 0    |       0.03307 ± 0       |           1 ± 0           |       0.0229 ± 0        |
| Bin21  |         1.375 ± 0         | 1.375 ± 0  |       0.07049 ± 0       |        0.9771 ± 0         |       0.04908 ± 0       |
| Bin22  |         1.344 ± 0         | 1.344 ± 0  |       0.1106 ± 0        |        0.9509 ± 0         |       0.08854 ± 0       |
| Bin23  |         1.575 ± 0         | 1.575 ± 0  |       0.1403 ± 0        |        0.9115 ± 0         |       0.1128 ± 0        |
| Bin24  |         1.541 ± 0         | 1.541 ± 0  |       0.1561 ± 0        |        0.8872 ± 0         |       0.1257 ± 0        |
| Bin25  |         1.523 ± 0         | 1.523 ± 0  |       0.1678 ± 0        |        0.8743 ± 0         |       0.1461 ± 0        |
| Bin26  |         1.896 ± 0         | 1.896 ± 0  |       0.1789 ± 0        |        0.8539 ± 0         |       0.1559 ± 0        |
| Bin27  |         1.879 ± 0         | 1.879 ± 0  |       0.2013 ± 0        |        0.8441 ± 0         |       0.1759 ± 0        |
| Bin28  |         1.845 ± 0         | 1.845 ± 0  |       0.2368 ± 0        |        0.8241 ± 0         |       0.2078 ± 0        |
| Bin29  |         1.79 ± 0          |  1.79 ± 0  |       0.2542 ± 0        |        0.7922 ± 0         |       0.2236 ± 0        |
| Bin30  |         1.763 ± 0         | 1.763 ± 0  |       0.2811 ± 0        |        0.7764 ± 0         |        0.248 ± 0        |
| Bin31  |         1.72 ± 0          |  1.72 ± 0  |       0.3109 ± 0        |         0.752 ± 0         |       0.2752 ± 0        |
