+--------+-----------------+--------------------+-------------------+-------------------+-------------------+----------------------+----------------------+--------------------+--------+--------+---------------------------+
| Bin#   | background_qcd  |  background_ttbar  | background_Wjets  | background_Zjets  | background_VV_VH  | background_rare_EWK  | background_rare_top  |       Total        |  data  | Ratio  | signal_vbsvvh [1000.00x]  |
|--------+-----------------+--------------------+-------------------+-------------------+-------------------+----------------------+----------------------+--------------------+--------+--------+---------------------------+
| Bin0   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |           0 ± 0           |
| Bin1   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |      0.5176 ± 0.3858      |
| Bin2   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       10.25 ± 2.528       |
| Bin3   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       9.968 ± 2.721       |
| Bin4   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |  0.04434 ± 0.04434   |        0 ± 0         | 0.04434 ± 0.04434  | 0 ± 0  | 0 ± 0  |       21.18 ± 4.17        |
| Bin5   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       7.716 ± 2.512       |
| Bin6   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |  0.05657 ± 0.05657   |        0 ± 0         | 0.05657 ± 0.05657  | 0 ± 0  | 0 ± 0  |       20.19 ± 4.114       |
| Bin7   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       20.13 ± 3.958       |
| Bin8   |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       16.43 ± 4.003       |
| Bin9   |  0.198 ± 0.198  |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |   0.198 ± 0.198    | 0 ± 0  | 0 ± 0  |       18.81 ± 4.203       |
| Bin10  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       21.25 ± 4.505       |
| Bin11  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       11.52 ± 2.716       |
| Bin12  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       26.96 ± 4.523       |
| Bin13  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       6.413 ± 2.195       |
| Bin14  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |  0.05649 ± 0.05649   |        0 ± 0         | 0.05649 ± 0.05649  | 0 ± 0  | 0 ± 0  |       5.398 ± 1.778       |
| Bin15  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       2.831 ± 1.227       |
| Bin16  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       4.131 ± 2.091       |
| Bin17  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       6.419 ± 2.535       |
| Bin18  |      0 ± 0      |       0 ± 0        |       0 ± 0       |       0 ± 0       |       0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |       3.198 ± 1.248       |
