+--------+----------------------------+-------------+----------------------------+---------------------------+----------------------------+
| Bin#   | #rightarrow 0.48 (225.00)  |    Total    | #leftarrow 0.46 (2000.00)  | #rightarrow 0.97 (50.00)  | #leftarrow 0.98 (1350.00)  |
|--------+----------------------------+-------------+----------------------------+---------------------------+----------------------------+
| Bin0   |           0 ± 0            |    0 ± 0    |           0 ± 0            |           0 ± 0           |           0 ± 0            |
| Bin1   |           1 ± 0            |    1 ± 0    |           0 ± 0            |           1 ± 0           |        0.001534 ± 0        |
| Bin2   |         0.9986 ± 0         | 0.9986 ± 0  |           0 ± 0            |        0.9985 ± 0         |        0.03189 ± 0         |
| Bin3   |         0.9708 ± 0         | 0.9708 ± 0  |           0 ± 0            |        0.9681 ± 0         |        0.06142 ± 0         |
| Bin4   |         0.9437 ± 0         | 0.9437 ± 0  |         0.3851 ± 0         |        0.9386 ± 0         |         0.1242 ± 0         |
| Bin5   |         0.9262 ± 0         | 0.9262 ± 0  |         0.448 ± 0          |        0.8758 ± 0         |         0.147 ± 0          |
| Bin6   |         0.9041 ± 0         | 0.9041 ± 0  |         0.4373 ± 0         |         0.853 ± 0         |         0.2069 ± 0         |
| Bin7   |         0.9026 ± 0         | 0.9026 ± 0  |         0.551 ± 0          |        0.7931 ± 0         |         0.2665 ± 0         |
| Bin8   |         0.8404 ± 0         | 0.8404 ± 0  |         0.6407 ± 0         |        0.7335 ± 0         |         0.3152 ± 0         |
| Bin9   |         0.7891 ± 0         | 0.7891 ± 0  |         0.4711 ± 0         |        0.6848 ± 0         |         0.3709 ± 0         |
| Bin10  |         1.043 ± 0          |  1.043 ± 0  |         0.5461 ± 0         |        0.6291 ± 0         |         0.4338 ± 0         |
| Bin11  |         0.9515 ± 0         | 0.9515 ± 0  |         0.5862 ± 0         |        0.5662 ± 0         |         0.468 ± 0          |
| Bin12  |         0.9011 ± 0         | 0.9011 ± 0  |         0.6787 ± 0         |         0.532 ± 0         |         0.5478 ± 0         |
| Bin13  |         0.7804 ± 0         | 0.7804 ± 0  |         0.7005 ± 0         |        0.4522 ± 0         |         0.5668 ± 0         |
| Bin14  |         0.7511 ± 0         | 0.7511 ± 0  |         0.6674 ± 0         |        0.4332 ± 0         |         0.5828 ± 0         |
| Bin15  |         0.8895 ± 0         | 0.8895 ± 0  |         0.6764 ± 0         |        0.4172 ± 0         |         0.5912 ± 0         |
| Bin16  |         0.8741 ± 0         | 0.8741 ± 0  |         0.6894 ± 0         |        0.4088 ± 0         |         0.6035 ± 0         |
| Bin17  |         0.8516 ± 0         | 0.8516 ± 0  |         0.7096 ± 0         |        0.3965 ± 0         |         0.6225 ± 0         |
| Bin18  |         0.8163 ± 0         | 0.8163 ± 0  |         0.7196 ± 0         |        0.3775 ± 0         |         0.6319 ± 0         |
| Bin19  |         0.7985 ± 0         | 0.7985 ± 0  |         0.7257 ± 0         |        0.3681 ± 0         |         0.6378 ± 0         |
| Bin20  |         0.7875 ± 0         | 0.7875 ± 0  |         0.7377 ± 0         |        0.3622 ± 0         |         0.6491 ± 0         |
| Bin21  |         0.7661 ± 0         | 0.7661 ± 0  |         0.7466 ± 0         |        0.3509 ± 0         |         0.6576 ± 0         |
| Bin22  |          0.75 ± 0          |  0.75 ± 0   |         0.7616 ± 0         |        0.3424 ± 0         |         0.6719 ± 0         |
| Bin23  |         0.7226 ± 0         | 0.7226 ± 0  |         0.7808 ± 0         |        0.3281 ± 0         |         0.6903 ± 0         |
| Bin24  |         0.687 ± 0          |  0.687 ± 0  |         0.7946 ± 0         |        0.3097 ± 0         |         0.7034 ± 0         |
| Bin25  |         0.6612 ± 0         | 0.6612 ± 0  |         0.819 ± 0          |        0.2966 ± 0         |         0.727 ± 0          |
| Bin26  |         0.6145 ± 0         | 0.6145 ± 0  |         0.8275 ± 0         |         0.273 ± 0         |         0.7352 ± 0         |
