Region, QCD, QCD_err, TTbar, TTbar_err, Wjets, Wjets_err, Zjets, Zjets_err, VV_VH, VV_VH_err, Rare_top, Rare_top_err, Rare_EWK, Rare_EWK_err, Data, Data_err, VBSVVH, VBSVVH_err
RegionA,1.124992,0.508148,0.506233,0.181323,0.077377,0.077377,0.000000,0.000000,0.000000,0.000000,0.572096,0.269856,0.699166,0.197054,3.000000,1.732051,1.208045,0.029862
RegionB,54.958312,3.543799,19.208607,1.157186,4.631472,0.669686,3.659885,0.488393,0.734247,0.473925,8.536255,1.092092,6.036174,0.574149,157.000000,12.529964,1.560402,0.034723
RegionC,508.796677,43.028018,236.275712,4.065118,12.928259,1.132913,9.245811,0.788958,1.174405,0.597646,21.542465,1.538574,21.449952,1.084980,1459.000000,38.196859,5.523588,0.062419
RegionD,17480.107672,253.895680,6847.000690,21.817607,509.495358,7.046887,457.309194,5.559186,45.703276,3.978818,663.511741,9.056962,204.751269,3.297752,46474.000000,215.578292,9.346112,0.081031
RegionD1,2178.028165,81.905603,568.515856,6.229661,71.086261,2.636333,62.558086,2.064930,9.875229,1.582609,126.052910,4.091291,75.727833,2.021287,5867.000000,76.596345,5.123934,0.060412
RegionD2,3807.592339,108.076522,968.603644,8.152122,148.427567,3.792207,123.941673,2.896472,12.941027,2.533739,186.374519,5.011471,74.818730,1.992816,10236.000000,101.173119,2.671156,0.043657
RegionD3,4076.953463,128.029295,1998.861613,11.776842,95.714758,3.057510,89.570173,2.459984,10.746507,1.629017,136.742089,3.941246,26.668450,1.185131,11242.000000,106.028298,0.927190,0.024835
RegionD4,7417.533704,172.285965,3311.019577,15.233129,194.266772,4.356508,181.239263,3.492784,12.140512,2.062234,214.342223,4.964033,27.536256,1.188998,19129.000000,138.307628,0.623831,0.019842
RegionC1,14.864024,6.998790,1.310435,0.319778,0.077225,0.077225,0.079760,0.079760,0.000000,0.000000,0.365970,0.201803,0.687480,0.189269,13.000000,3.605551,0.646809,0.021318
RegionC2,138.448744,19.644493,43.591891,1.744496,5.149780,0.694625,4.016923,0.514178,1.082148,0.591736,8.180717,0.985880,16.086392,0.944071,499.000000,22.338308,4.282175,0.055266
RegionC3,24.940228,9.742200,9.264769,0.826752,0.345403,0.179573,0.000000,0.000000,0.000000,0.000000,0.467485,0.206111,0.119767,0.082995,37.000000,6.082763,0.066047,0.006624
RegionC4,330.543682,36.353964,182.108618,3.563165,7.355850,0.873372,5.149128,0.593054,0.092257,0.083842,12.528293,1.145446,4.556313,0.493154,910.000000,30.166206,0.528557,0.018532
RegionB1,17.718344,1.979679,6.023595,0.655430,1.166013,0.336171,0.953865,0.243695,0.052536,0.246718,4.571487,0.779784,3.156014,0.413879,61.000000,7.810250,1.036264,0.028295
RegionB2,37.239968,2.939282,13.185012,0.953673,3.465459,0.579196,2.706020,0.423250,0.681711,0.404642,3.964769,0.764593,2.880159,0.397934,96.000000,9.797959,0.524138,0.020126
RegionD1dublicate,2178.028165,81.905603,568.515856,6.229661,71.086261,2.636333,62.558086,2.064930,9.875229,1.582609,126.052910,4.091291,75.727833,2.021287,5867.000000,76.596345,5.123934,0.060412
RegionD2dublicate,3807.592339,108.076522,968.603644,8.152122,148.427567,3.792207,123.941673,2.896472,12.941027,2.533739,186.374519,5.011471,74.818730,1.992816,10236.000000,101.173119,2.671156,0.043657
