Region, QCD, QCD_err, TTbar, TTbar_err, Wjets, Wjets_err, Zjets, Zjets_err, VV_VH, VV_VH_err, Rare_top, Rare_top_err, Rare_EWK, Rare_EWK_err, Data, Data_err, VBSVVH, VBSVVH_err
RegionA,0.000000,0.000000,0.303997,0.138723,0.077377,0.077377,0.000000,0.000000,0.000000,0.000000,0.572096,0.269856,0.581356,0.178239,1.000000,1.000000,1.054474,0.027745
RegionB,56.083304,3.580045,19.410844,1.163062,4.631472,0.669686,3.659885,0.488393,0.734247,0.473925,8.536255,1.092092,6.153983,0.580266,159.000000,12.609520,1.713973,0.036437
RegionC,327.528726,33.981272,149.269549,3.225391,7.747840,0.866649,4.964552,0.572892,0.214574,0.272288,14.020401,1.264046,15.355644,0.917559,942.000000,30.692019,4.763822,0.058025
RegionD,17661.375624,255.263981,6934.006853,21.957460,514.675776,7.084563,461.590453,5.585589,46.663107,4.014228,671.033805,9.099338,210.845577,3.348199,46991.000000,216.774076,10.105878,0.084233
RegionD1,2238.508879,83.057503,586.737174,6.331369,73.420270,2.675338,64.606224,2.098801,10.747565,1.667533,128.787385,4.128433,80.404531,2.085034,6062.000000,77.858847,5.778586,0.064160
RegionD2,3807.592339,108.076522,968.603644,8.152122,148.427567,3.792207,123.941673,2.896472,12.941027,2.533739,186.374519,5.011471,74.818730,1.992816,10236.000000,101.173119,2.671156,0.043657
RegionD3,4197.740701,129.992934,2067.646458,11.980755,98.561167,3.110241,91.803293,2.490932,10.834002,1.631172,141.529678,3.999690,28.086060,1.215745,11564.000000,107.536040,1.032305,0.026060
RegionD4,7417.533704,172.285965,3311.019577,15.233129,194.266772,4.356508,181.239263,3.492784,12.140512,2.062234,214.342223,4.964033,27.536256,1.188998,19129.000000,138.307628,0.623831,0.019842
RegionC1,14.864024,6.998790,1.310435,0.319778,0.077225,0.077225,0.079760,0.079760,0.000000,0.000000,0.365970,0.201803,0.687480,0.189269,13.000000,3.605551,0.646809,0.021318
RegionC2,77.968031,13.995896,25.370573,1.328803,2.815771,0.524712,1.968785,0.351214,0.209813,0.272282,5.446242,0.816493,11.409695,0.793412,304.000000,17.435596,3.627523,0.050867
RegionC3,24.940228,9.742200,9.264769,0.826752,0.345403,0.179573,0.000000,0.000000,0.000000,0.000000,0.467485,0.206111,0.119767,0.082995,37.000000,6.082763,0.066047,0.006624
RegionC4,209.756444,28.547298,113.323773,2.802080,4.509441,0.661474,2.916008,0.445525,0.004762,0.001826,7.740704,0.920839,3.138703,0.411947,588.000000,24.248711,0.423443,0.016766
RegionB1,18.843336,2.043855,6.225831,0.665750,1.166013,0.336171,0.953865,0.243695,0.052536,0.246718,4.571487,0.779784,3.273824,0.422323,63.000000,7.937254,1.189835,0.030374
RegionB2,37.239968,2.939282,13.185012,0.953673,3.465459,0.579196,2.706020,0.423250,0.681711,0.404642,3.964769,0.764593,2.880159,0.397934,96.000000,9.797959,0.524138,0.020126
RegionD1dublicate,2238.508879,83.057503,586.737174,6.331369,73.420270,2.675338,64.606224,2.098801,10.747565,1.667533,128.787385,4.128433,80.404531,2.085034,6062.000000,77.858847,5.778586,0.064160
RegionD2dublicate,3807.592339,108.076522,968.603644,8.152122,148.427567,3.792207,123.941673,2.896472,12.941027,2.533739,186.374519,5.011471,74.818730,1.992816,10236.000000,101.173119,2.671156,0.043657
