Region, QCD, QCD_err, TTbar, TTbar_err, Wjets, Wjets_err, Zjets, Zjets_err, VV_VH, VV_VH_err, Rare_top, Rare_top_err, Rare_EWK, Rare_EWK_err, Data, Data_err, VBSVVH, VBSVVH_err
RegionA,0.198025,0.198025,0.079079,0.079079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157400,0.091418,0.000000,0.000000,0.337559,0.016265
RegionB,15.161793,1.809093,5.673425,0.629761,1.828414,0.428290,1.324325,0.298450,0.683484,0.433777,3.281477,0.660623,1.856737,0.311968,40.000000,6.324555,1.136160,0.029830
RegionC,138.552393,22.297119,52.859939,1.940739,2.912920,0.534076,1.838751,0.348989,-0.058812,0.136012,4.431774,0.676435,4.984767,0.531160,300.000000,17.320508,2.652580,0.043322
RegionD,17891.075442,256.567282,7044.378800,22.129976,522.391132,7.136379,467.051814,5.617354,46.987256,4.025682,686.449307,9.206914,225.937658,3.468864,47753.000000,218.524598,13.511848,0.097613
RegionD1,1646.286738,71.435405,435.561323,5.455704,53.791401,2.295115,45.401425,1.751612,7.130769,1.509510,99.062755,3.617272,74.294273,2.006449,4509.000000,67.149088,7.731071,0.074133
RegionD2,4484.400103,116.488439,1151.048320,8.885670,172.552471,4.085583,146.776151,3.155205,16.879995,2.648388,226.090564,5.516752,93.767843,2.235672,12127.000000,110.122659,3.862298,0.052723
RegionD3,3051.277838,109.881993,1542.066009,10.348099,75.144724,2.721502,63.233644,2.063431,7.551113,1.401468,106.635169,3.462344,24.165968,1.132637,8684.000000,93.187982,1.120329,0.027306
RegionD4,8709.110763,187.296941,3915.703148,16.550916,220.902536,4.643468,211.640593,3.778024,15.425379,2.224730,254.660820,5.409273,33.709573,1.313805,22433.000000,149.776500,0.798149,0.022523
RegionC1,6.578672,4.939065,0.542880,0.198598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195449,0.152897,0.131207,0.077492,2.000000,1.414214,0.208796,0.012551
RegionC2,42.391245,11.682829,8.831639,0.788116,1.277396,0.362005,0.754425,0.224111,-0.061597,0.136005,1.452223,0.390728,3.848314,0.465548,97.000000,9.848858,2.216637,0.039678
RegionC3,1.189061,0.842295,2.211242,0.385997,0.079784,0.079784,0.000000,0.000000,0.000000,0.000000,0.006141,0.002010,0.000385,0.000385,10.000000,3.162278,0.018130,0.003266
RegionC4,88.393415,18.318548,41.274178,1.719566,1.555739,0.384479,1.084326,0.267522,0.002785,0.001396,2.777960,0.530580,1.004860,0.243701,191.000000,13.820275,0.209017,0.011585
RegionB1,5.004796,1.025820,2.282467,0.394318,0.489392,0.224278,0.316781,0.143752,0.217201,0.212949,2.166488,0.537557,1.009894,0.232567,14.000000,3.741657,0.863563,0.025977
RegionB2,10.156997,1.490137,3.390958,0.491031,1.339022,0.364873,1.007544,0.261549,0.466284,0.377908,1.114989,0.383999,0.846843,0.207934,26.000000,5.099020,0.272597,0.014665
RegionD1dublicate,1646.286738,71.435405,435.561323,5.455704,53.791401,2.295115,45.401425,1.751612,7.130769,1.509510,99.062755,3.617272,74.294273,2.006449,4509.000000,67.149088,7.731071,0.074133
RegionD2dublicate,4484.400103,116.488439,1151.048320,8.885670,172.552471,4.085583,146.776151,3.155205,16.879995,2.648388,226.090564,5.516752,93.767843,2.235672,12127.000000,110.122659,3.862298,0.052723
