region_A,A_sig,B_sig,C_sig,D_sig,A_bkg,B_bkg,C_bkg,D_bkg,B_data,C_data,D_data,A_pred,fom
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.5 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1400.0,0.761669946359357,0.1589551919095854,5.657426242574843,0.8740855018344114,0.9260297761920937,1.6316012602270016,688.5947921455609,396.27256523159133,4,1215,721,6.740638002773925,0.29337041652587736
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.5 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1272.7272727272727,0.8070957826362772,0.1965802252742715,6.050147763451867,1.1327136651749266,1.124054660493793,1.9925052777309826,817.5511468064885,553.3934861739982,5,1477,1007,7.333664349553128,0.2980331434236337
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.928571428571429 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1400.0,0.715124326908237,0.20550081136070555,5.222133953336933,1.3093777910723214,0.7952545145127026,1.7623765219063927,553.4217212750393,531.4456361021128,5,987,949,5.200210748155953,0.31359640812790646
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.642857142857143 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1400.0,0.7508769519421516,0.16974818632679078,5.5149499875747665,1.016561756834488,0.9260297761920937,1.6316012602270016,649.9391462102675,434.92821116688475,4,1139,797,5.716436637390213,0.3140552638157019
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.5 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1336.3636363636365,0.7900562803372898,0.17974797819122793,5.854110641661315,0.9999292047525007,1.124054660493793,1.6995592855686705,739.2242525741268,459.77728100353625,4,1338,848,6.311320754716981,0.3144835284021023
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.642857142857143 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1272.7272727272727,0.7962444319388873,0.2074315759716615,5.886441789671004,1.2964196389557896,1.124054660493793,1.9925052777309826,760.4178295632714,610.5268034172152,5,1378,1106,6.229656419529837,0.31901739243672583
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.5 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1209.090909090909,0.8342462576466649,0.2090704969035463,6.281243930089914,1.302938586411826,1.124054660493793,2.1688467243729725,888.5838507335916,630.8672478144213,5,1598,1184,6.7483108108108105,0.32114171969394584
abcdnet_score > 0.9831818181818182 and abs_deta_jj > 5.5 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1400.0,0.8446801086341016,0.1713836625960954,5.574416080300098,0.8616570311479016,0.9623772805412436,1.9278950083123128,688.5584446412117,395.97627148350597,4,1215,721,6.740638002773925,0.32534322311858077
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.928571428571429 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1272.7272727272727,0.7588314610650476,0.24484454684550105,5.54418930131008,1.6386721273167124,0.993279398814402,2.1232805394103744,635.8756597883934,735.0689731920934,6,1178,1306,5.411944869831546,0.3261885006143177
abcdnet_score > 0.9831818181818182 and abs_deta_jj > 5.5 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1272.7272727272727,0.8935482359594336,0.21066895914947553,5.96369531012871,1.1186249312997225,1.1604021648429428,2.425901876824242,817.5147993021394,552.960089574905,5,1477,1007,7.333664349553128,0.3299571070657491
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.785714285714286 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1400.0,0.7364997740439659,0.18412536422497644,5.3842674103879276,1.147244334021327,0.7952545145127026,1.7623765219063927,602.7310454295259,482.13631194762627,4,1064,872,4.8807339449541285,0.3333727140711809
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 6.071428571428571 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1400.0,0.694953802761274,0.22567133550766855,5.005546163125076,1.525965581284178,0.7952545145127026,1.7623765219063927,498.5072722600016,586.3600851171506,5,896,1040,4.3076923076923075,0.3348371204150883
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.642857142857143 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1336.3636363636365,0.7792049296398998,0.1905993288886179,5.701577814260013,1.1524620321538022,1.124054660493793,1.6995592855686705,693.8200066980277,505.1815268796355,4,1254,932,5.381974248927039,0.33587747812813934
abcdnet_score > 0.9854545454545455 and abs_deta_jj > 5.928571428571429 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6 and M_jj > 1336.3636363636365,0.7434523046059851,0.2263519539225327,5.3838254422019975,1.4702144042118177,0.993279398814402,1.8303345472480614,586.1681592725882,612.8333743050748,5,1078,1108,4.864620938628159,0.3370766038743
