region_A,A_sig,B_sig,C_sig,D_sig,A_bkg,B_bkg,C_bkg,D_bkg,B_data,C_data,D_data,A_pred,fom
abcdnet_score > 0.7 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,9.334862274183475,2.3616179919234077,4.484159169782696,1.4575076090894248,1311.795459039963,2041.0832044514182,9063.340933491987,14703.817702052067,3923,16287,25538,2501.914832798183,0.18662578772815014
abcdnet_score > 0.7120833333333333 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,9.091062781333022,2.2957651405867034,4.727958662633149,1.5233604604261295,1204.5471957405086,1841.201561959057,9170.589196791441,14903.699344544431,3583,16529,25878,2288.561983151712,0.19003487839289027
abcdnet_score > 0.7 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,9.052644769957968,2.643835496148916,4.349189582678046,1.592477196194076,1181.129237520689,2171.749425970692,8103.877316368882,15663.281319175174,4179,14649,27176,2252.655688843097,0.19073397975984555
abcdnet_score > 0.7241666666666666 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.836351018885672,2.208382076623141,4.9826704250805,1.6107435243896917,1072.2464323895456,1673.9482112122728,9302.889960142405,15070.952695291215,3256,16702,26205,2075.241824079374,0.19397180354442908
abcdnet_score > 0.7120833333333333 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.813371439384134,2.573456482535591,4.5884629132518775,1.6628562098074013,1084.7633579643382,1960.985399735228,8200.243195925235,15874.045345410641,3813,14865,27542,2057.9567569530172,0.19427814647880934
abcdnet_score > 0.7 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.782471764970637,2.914008501136245,4.183573049948103,1.7580937289240182,1052.4680171823031,2300.410646309078,7195.765301599281,16571.393333944776,4418,13177,28648,2032.1134459648142,0.1948241488235714
abcdnet_score > 0.7241666666666666 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.569233007496075,2.4755000880127387,4.832601345139939,1.760812604330253,965.3368491288721,1780.8577944729461,8319.6697047607,16054.172950672924,3471,15023,27884,1870.0628675943194,0.1981590212647356
abcdnet_score > 0.7120833333333333 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.550272878239925,2.8365550436798013,4.415771936678817,1.8355471863804615,966.112325923815,2079.6364317757507,7282.120992857769,16792.1675484781,4028,13369,29038,1854.477994352228,0.19854965333972616
abcdnet_score > 0.73625 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.587705057776647,2.141695056317528,5.231316386189524,1.6774305446953048,971.3922892467215,1540.466576875474,9403.74410328523,15204.434329628015,2920,16882,26541,1857.3316755208923,0.1992656258739538
abcdnet_score > 0.7 and abs_deta_jj > 3.625 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.500356030171199,3.1961242359356836,4.036370357246948,1.9052964216251735,936.4339453196036,2416.4447181717774,6414.529541997438,17352.62909354662,4638,11696,30129,1800.4596236184407,0.20032973793614942
abcdnet_score > 0.7241666666666666 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.314679597911073,2.7300534975977397,4.651365217007669,1.9420487324625233,858.9942004345771,1887.200443167241,7389.239118347007,16984.603537086612,3673,13514,29393,1688.7327595005613,0.20233222361366743
abcdnet_score > 0.73625 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.334888364847714,2.3945117492464596,5.066945987788297,1.841800943096532,874.2046166042603,1637.6542495179356,8410.801937285312,16197.37649562793,3121,15189,28234,1678.99939788907,0.20341103855490092
abcdnet_score > 0.7120833333333333 and abs_deta_jj > 3.625 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.271907977663895,3.1149199442558304,4.264818409754252,1.9865007133050272,861.4736171161289,2184.275140583437,6489.48987020091,17584.79867113495,4225,11865,30542,1641.334064566826,0.2041771807662146
abcdnet_score > 0.7483333333333333 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.347603039130501,2.0742530374389485,5.471418404835672,1.7448725635738844,866.7503443287205,1375.3810560519123,9508.38604820323,15369.519850451577,2620,17046,26841,1663.8918073097127,0.20464410876461422
abcdnet_score > 0.7 and abs_deta_jj > 3.8333333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.219640508067673,3.4768397580392105,3.8698982178243964,2.071768561047725,823.8588170502225,2529.0198464411587,5580.854445676805,18186.304189867256,4839,10300,31525,1581.0214115781125,0.2067206909832111
abcdnet_score > 0.73625 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.094839597342922,2.6345605167512542,4.87120521757582,2.0375417133090092,779.8703652312537,1731.988500890942,7468.3629535503305,17139.815479362915,3304,13661,29762,1516.5628653988308,0.20786340570119255
abcdnet_score > 0.7241666666666666 and abs_deta_jj > 3.625 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.042545389724095,3.002187705784718,4.494180997694053,2.0992329517761394,769.8038437748628,1976.3907998269556,6581.15964354218,17792.683011891437,3850,11990,30917,1493.0782417440244,0.20813841224676755
abcdnet_score > 0.7604166666666666 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.09943818278749,2.0038177433738507,5.719583261178682,1.8153078576389823,785.0125197939369,1265.0146068137424,9590.123872738013,15479.886299689744,2374,17212,27087,1508.5202495662127,0.2085351760391976
abcdnet_score > 0.7483333333333333 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,8.10227067786732,2.3195853987021278,5.2995636747686925,1.9167272936408644,783.3355844010309,1458.795815979602,8501.67096948854,16376.234929166261,2808,15340,28547,1508.9053140435071,0.20858148439124852
abcdnet_score > 0.7120833333333333 and abs_deta_jj > 3.8333333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.996514529442385,3.3903133924773403,4.093024196449684,2.158294926609595,770.2464737001649,2275.5022839994012,5634.466789026861,18439.82175230901,4405,10448,31959,1440.0775994242624,0.21072098282269486
abcdnet_score > 0.7725 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.856505552642637,1.941280842946628,5.962515891323536,1.877844758066205,695.7397707190171,1149.7517409359505,9679.396621812934,15595.149165567542,2145,17380,27316,1364.7715624542393,0.21266667425052896
abcdnet_score > 0.7604166666666666 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.859690341453457,2.243565584707882,5.542144011182556,1.9927471076351102,711.8081889937229,1338.2189376139563,8573.198364895848,16496.81180753191,2540,15484,28815,1364.8918965816415,0.2127435040996789
abcdnet_score > 0.7483333333333333 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.86775031965479,2.5541057569146584,5.098294495263952,2.1179964731456047,702.3362926520387,1539.7951077285938,7545.897026129545,17332.008872525264,2974,13795,30092,1363.3633523860162,0.2130810172064151
abcdnet_score > 0.73625 and abs_deta_jj > 3.625 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.8341819658278755,2.8952181482663004,4.7025444215902725,2.206202509294557,697.1460985816998,1814.712767540496,6653.817388735341,17954.3610441779,3467,12123,31300,1342.825591054313,0.21378825877206237
abcdnet_score > 0.7 and abs_deta_jj > 4.041666666666667 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.94521219564629,3.751268070460593,3.6897600804436963,2.2519066984284253,728.2576731567162,2624.6209903346644,4938.142732400093,18829.015903143965,5025,8970,32855,1371.9144726830011,0.2145072532247306
abcdnet_score > 0.7241666666666666 and abs_deta_jj > 3.8333333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.775689518579348,3.2690435769294646,4.313849207312721,2.2795647421574703,685.1139733253519,2061.080670276466,5719.5992894016745,18654.24336603194,4014,10557,32350,1309.9164760432766,0.21484097203099023
abcdnet_score > 0.7845833333333333 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.5917722817340945,1.8683422081827046,6.227249162232078,1.9507833928301281,621.9834889431739,1046.2951837204685,9753.152903588776,15698.605722783015,1928,17523,27533,1227.0491410307632,0.216726588547613
abcdnet_score > 0.7725 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.625232249800425,2.1725541457888395,5.7766021028355885,2.0637585465541526,630.1039668713184,1215.387544783649,8654.902587018254,16619.643200362218,2293,15634,29062,1233.5270112173973,0.21710945843650897
abcdnet_score > 0.7604166666666666 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.631605125618349,2.4716508005429905,5.3344396893003925,2.200451429517272,634.4966006448057,1415.5305259628735,7613.736718136778,17456.273454290975,2686,13919,30380,1230.626530612245,0.2175468274342083
abcdnet_score > 0.7120833333333333 and abs_deta_jj > 4.041666666666667 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.728439052106148,3.6583888698135785,3.906533223983839,2.344785899075439,679.7152390343457,2366.03351866522,4986.685166522465,19087.603374813407,4573,9100,33307,1249.4160386705498,0.2186443443722551
abcdnet_score > 0.7483333333333333 and abs_deta_jj > 3.625 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.6128270611709326,2.809029015398515,4.923899326247214,2.2923916421623423,632.3267729551778,1609.8046274254548,6718.636714361864,18159.26918429294,3115,12235,31652,1204.0953178314167,0.2193893443891249
abcdnet_score > 0.73625 and abs_deta_jj > 3.8333333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.575403870987465,3.1539962431067115,4.514134854904604,2.3946120759802243,628.4114374762297,1883.447428645966,5776.301825250797,18831.87660766244,3614,10673,32750,1177.7777709923664,0.22073648108195185
abcdnet_score > 0.7966666666666666 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.307070092088835,1.7983616481036453,6.511951351877337,2.020763952909187,565.9106635106662,931.7060951492709,9809.225729021287,15813.194811354217,1712,17650,27749,1088.932934520163,0.2214331849537701
abcdnet_score > 0.7845833333333333 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.374238517977483,2.085875971939316,6.0275958346585305,2.1504367204036763,563.0301172909094,1105.2485553727329,8721.976436598665,16729.78218977313,2058,15759,29297,1107.0082943646107,0.22163673469338452
abcdnet_score > 0.7725 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.400695011347487,2.3970913842417767,5.565349803571254,2.2750108458184863,561.1090864321875,1284.3824252227803,7687.124232349396,17587.421555031076,2427,14057,30639,1113.4938803485754,0.22178317154392632
abcdnet_score > 0.7 and abs_deta_jj > 4.25 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.665029992182888,4.031450273923996,3.5383415880255344,2.4033251908465862,623.7957808849037,2729.0828826064776,4340.276036013142,19426.88259953091,5181,7808,34017,1189.2068083605257,0.22227220869511222
abcdnet_score > 0.7241666666666666 and abs_deta_jj > 4.041666666666667 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.512987660464162,3.531745435044651,4.121984615625825,2.471429333844367,608.0663737266304,2138.128269875188,5058.334031830179,19315.50862360344,4167,9194,33713,1136.398362649423,0.2228678255868326
abcdnet_score > 0.7604166666666666 and abs_deta_jj > 3.625 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.38347894300785,2.7197769831534897,5.153247444410297,2.3816436744073677,570.5583110087568,1479.4688155989224,6780.405176308284,18289.604996119473,2811,12343,31956,1085.7483101764926,0.22407657597960853
abcdnet_score > 0.7483333333333333 and abs_deta_jj > 3.8333333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.360075941289261,3.0617801352801877,4.729462784602808,2.4868281838067476,570.6169435733208,1671.514456807312,5834.096319153707,19043.809579501096,3249,10772,33115,1056.8693341386079,0.22639751054415957
abcdnet_score > 0.7966666666666666 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.099867688777615,2.005564051414865,6.301966663858398,2.230748640928127,512.4646867265861,985.1520719333508,8772.541867162985,16849.878673212515,1827,15871,29528,981.9939379571932,0.22656658152292553
abcdnet_score > 0.7120833333333333 and abs_deta_jj > 4.25 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.456362557975851,3.9304653639438762,3.747009022232572,2.504310100826706,582.8239793537111,2462.924778345855,4381.247837544335,19693.040703791536,4711,7920,34487,1081.8894076028648,0.2266916808204177
abcdnet_score > 0.7845833333333333 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.15679828046286,2.303316209453938,5.809246534455881,2.3687860206063256,498.3959237736757,1169.8827488899665,7749.837395007908,17701.92123136389,2172,14162,30894,995.6581860555448,0.2268107538778505
abcdnet_score > 0.80875 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.030652603468449,1.723212453041391,6.788368840497723,2.0959131479714417,501.02496891890075,830.312538839108,9874.111423613047,15914.588367664379,1511,17764,27950,960.336457960644,0.22687358354328818
abcdnet_score > 0.7725 and abs_deta_jj > 3.625 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.160320718959461,2.6374656766298035,5.376405668458686,2.463954980931054,501.5693198100592,1343.9221918449084,6849.394167506983,18425.15161987349,2542,12471,32225,983.7480837858806,0.22829191207587063
abcdnet_score > 0.73625 and abs_deta_jj > 4.041666666666667 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.318437430046662,3.4109626840475147,4.316534846043326,2.5922120848415027,556.9729808514951,1954.8858852707006,5109.4274247053145,19498.75100820793,3746,9289,34134,1019.4115544618269,0.22921529211084363
abcdnet_score > 0.7 and abs_deta_jj > 4.458333333333334 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.3609763656771445,4.335503900429739,3.3530412486080827,2.588625530264039,537.489254941627,2815.389408549754,3715.836840259519,20051.321795284537,5337,6770,35055,1030.7086007702183,0.22928068644818905
abcdnet_score > 0.8208333333333333 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.718544382833727,1.626076368349295,7.1004770611324455,2.1930492326635376,455.6402115392518,723.7555341380718,9919.496180992695,16021.145372365418,1337,17869,28124,849.482754942398,0.23051431854899632
abcdnet_score > 0.7241666666666666 and abs_deta_jj > 4.25 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.247347828402959,3.7973852671058532,3.956023751805464,2.6373901976647285,528.0766175388812,2218.118026062937,4435.995199359165,19937.847456074454,4291,8000,34907,983.413069011946,0.231105945034882
abcdnet_score > 0.7604166666666666 and abs_deta_jj > 3.8333333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,7.139433642362825,2.963822283798515,4.950105083529245,2.5847860352884204,513.1499578067198,1536.8771688009592,5891.563304920307,19178.44686750745,2932,10867,33432,953.0403206508735,0.23126404840776335
abcdnet_score > 0.7966666666666666 and abs_deta_jj > 3.4166666666666665 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.888877756568187,2.216553983624294,6.077167058350556,2.4555482464359697,455.50195143122255,1042.1148072287144,7792.731367350361,17829.689173025137,1928,14261,31138,883.0113687455842,0.23182770221258833
abcdnet_score > 0.80875 and abs_deta_jj > 3.2083333333333335 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.8325682726368235,1.9212967838730175,6.56926607999919,2.315015908469975,452.4965673204905,878.8409404375183,8832.509986569079,16956.18980470835,1607,15966,29748,862.4903186768859,0.23265204028843883
abcdnet_score > 0.7845833333333333 and abs_deta_jj > 3.625 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.924343187363895,2.5357713025529023,5.612383200054252,2.565649355007955,445.28018774352364,1222.9984849201187,6905.6832995735185,18546.075326798276,2275,12564,32492,879.6965406869383,0.2334598178560678
abcdnet_score > 0.8329166666666666 and abs_deta_jj > 3.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.428310818195012,1.5401383022721409,7.39071062577116,2.2789872987406916,397.0765474563582,646.6893972206788,9978.059845075592,16098.211509282806,1193,17959,28268,757.9272322060281,0.2334979712958083
