region_A,A_sig,B_sig,C_sig,D_sig,A_bkg,B_bkg,C_bkg,D_bkg,B_data,C_data,D_data,A_pred,fom
abcdnet_score > 0.9677777777777777 and abs_deta_jj > 5.0 and M_jj > 800.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.589208682478304,0.8204958958516706,7.469732511670513,5.0872378380793775,8.196236479273882,89.17582276185605,1902.271495908339,22830.29607843554,154,3522,40247,13.476482719208885,0.4329050476968794
abcdnet_score > 0.9705555555555555 and abs_deta_jj > 5.0 and M_jj > 800.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.512607265722778,0.7712883348687855,7.546333928426039,5.136445399062262,7.558822790336425,80.82001971531407,1902.9089095972763,22838.651881482074,137,3523,40264,11.987159745678522,0.43688590717129855
abcdnet_score > 0.965 and abs_deta_jj > 5.0 and M_jj > 800.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.6709564519815499,0.8539796886981106,7.3879847421672675,5.053754045232937,8.869471124334025,98.80404443840666,1901.5982612632788,22820.667856758988,163,3522,40238,14.267259804165217,0.44237935054991223
abcdnet_score > 0.9677777777777777 and abs_deta_jj > 5.0 and M_jj > 866.6666666666666 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.5596354098707745,0.8503073206857384,7.285405119682306,5.305230701086557,6.97034939833881,91.07848326978757,1747.8918415574253,23070.71028248416,158,3198,40794,12.38623326959847,0.44315276096156314
abcdnet_score > 0.9705555555555555 and abs_deta_jj > 5.0 and M_jj > 866.6666666666666 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.4830339931152487,0.8001782764767525,7.36200653643783,5.3553597452955435,6.440385400075075,82.5833556785556,1748.4218055556894,23079.205410075385,141,3199,40811,11.052387836612677,0.4460905750700303
abcdnet_score > 0.9677777777777777 and abs_deta_jj > 5.0 and M_jj > 933.3333333333334 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.5188224493999847,0.87673070642461,7.09369330079826,5.493545537356486,6.588045130296744,92.45987485348539,1589.5694611516515,23284.462188729023,160,2924,41212,11.352033388333496,0.45078574889319944
abcdnet_score > 0.9705555555555555 and abs_deta_jj > 5.0 and M_jj > 933.3333333333334 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.4430237692782621,0.8253507425432753,7.169491980919983,5.544925501237819,6.125133769167567,83.89601504831947,1590.0323725127807,23293.026048534186,143,2924,41229,10.141696378762521,0.4531251654823079
abcdnet_score > 0.965 and abs_deta_jj > 5.0 and M_jj > 866.6666666666666 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.6413831793740203,0.8859843838476011,7.20365735017906,5.2695536379246946,7.643584043398952,100.78551588112876,1747.2186069123654,23061.003249872818,167,3198,40785,13.09466715704303,0.45358924298558084
abcdnet_score > 0.9677777777777777 and abs_deta_jj > 5.277777777777778 and M_jj > 800.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.5309428734183506,0.8451025153978933,7.069444226915786,5.2250968851822925,6.698982702381363,90.44521405715757,1664.5977003398443,23136.770726281073,154,3012,40853,11.35407436418378,0.454342243588468
abcdnet_score > 0.9733333333333333 and abs_deta_jj > 5.0 and M_jj > 800.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,1.4511764627999981,0.735970470406545,7.607764731348819,5.171763263524503,6.303739023568929,70.58178397416022,1904.1639933640438,22848.89011722324,115,3523,40286,10.056719455890384,0.4576063667253864
