region_A,A_sig,B_sig,C_sig,D_sig,A_bkg,B_bkg,C_bkg,D_bkg,B_data,C_data,D_data,A_pred,fom
abcdnet_score > 0.8 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.18364146396656,2.823281460331944,5.526617359891742,3.1046067607887577,313.6185224940797,1129.5215423905302,5505.871891042341,20171.025343108482,2115,10016,35466,597.2999492471663,0.253016044367568
abcdnet_score > 0.8019191919191919 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.15089717860284,2.8068657367384535,5.559361645255463,3.121022484382248,310.6964060809037,1108.9524560004743,5508.794007455518,20191.59442949854,2074,10025,35507,585.5704508970063,0.2541843984923981
abcdnet_score > 0.8038383838383839 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.1114511708720265,2.7830073207256336,5.5988076529862765,3.1448809003950684,306.8688058758047,1090.30800683325,5512.621607660617,20210.23887866576,2043,10033,35538,576.7746918791153,0.2544727295880931
abcdnet_score > 0.8 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.156012262512348,2.850910661786157,5.482947253642923,3.1482768670375787,306.04443783924705,1137.095627045363,5367.607849212396,20309.28938493843,2128,9741,35741,579.9739235052181,0.2556202425033045
abcdnet_score > 0.8019191919191919 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.123267977148627,2.834494938192667,5.515691539006642,3.1646925906310686,303.4662268018281,1116.18263527955,5370.186060249816,20330.20237670424,2087,9750,35782,568.6727963780672,0.25677458708578715
abcdnet_score > 0.8 and abs_deta_jj > 4.08080808080808 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.1158845745467545,2.8910383497517493,5.4420725127369245,3.1891516079435758,297.5620672934245,1145.5779975911855,5221.212123738953,20455.68511041187,2141,9512,35970,566.1715874339727,0.2570308454841315
abcdnet_score > 0.8038383838383839 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.084092432557885,2.8103660590397754,5.554867083597385,3.18882146978396,299.63862659672907,1097.5381861123255,5374.013660454915,20348.846825871464,2056,9758,35813,560.2001507832351,0.2570538972924951
abcdnet_score > 0.8057575757575758 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.081361427503182,2.766155296470278,5.628897396355121,3.161732924650424,295.98448258480516,1071.2087306453516,5523.505930951616,20229.338154853664,1983,10038,35598,559.1705713804147,0.2571749486293626
abcdnet_score > 0.8019191919191919 and abs_deta_jj > 4.08080808080808 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.085710137373786,2.8720527779675082,5.472246949909893,3.2081371797278173,295.0757283617112,1124.5731337196669,5223.698462670664,20476.689974283392,2100,9521,36011,555.2220154952653,0.25827235578794266
abcdnet_score > 0.8076767676767678 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.037718321613904,2.743847439232307,5.672540502244399,3.1840407818883953,291.8320592641715,1051.3325455777058,5527.658354272251,20249.214339921316,1937,10046,35644,545.9292447536752,0.2584072344837558
abcdnet_score > 0.8038383838383839 and abs_deta_jj > 4.08080808080808 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.046856649655686,2.8476018419419735,5.511100437627993,3.232588115753352,291.27619145361007,1105.9006212554445,5227.497999578766,20495.362486747617,2069,9529,36042,547.0146218300871,0.2585414650473853
abcdnet_score > 0.8095959595959596 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.997280549793745,2.722638749580149,5.712978274064557,3.2052494715405526,286.1906589032532,1035.7705380944558,5533.299754633169,20264.776347404557,1908,10052,35673,537.6395593305862,0.25864778118865134
abcdnet_score > 0.8 and abs_deta_jj > 4.121212121212121 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.064251583679137,2.942671340619368,5.3966255989990675,3.2345985216814332,290.917934763505,1152.2221301211048,5092.239079501594,20584.658154649238,2153,9242,36240,549.062527593819,0.2588012131510739
abcdnet_score > 0.8057575757575758 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.054931329104225,2.7925853948692345,5.584028187051044,3.206602133954501,288.7543033057295,1078.4389099244272,5384.897983745915,20367.946102059363,1996,9763,35873,543.2204722214478,0.2597892389532616
abcdnet_score > 0.8115151515151515 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.964922683514885,2.706744902241786,5.745336140343417,3.2211433188789154,282.0482085808435,1015.5711260446346,5537.442204955579,20284.975759454384,1871,10060,35710,527.086530383646,0.2598147840411556
abcdnet_score > 0.8019191919191919 and abs_deta_jj > 4.121212121212121 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.034600741700344,2.923162173640949,5.42627644097786,3.2541076886598512,288.5149873800053,1131.1338747013729,5094.642026885093,20605.74641006897,2112,9251,36281,538.5218709517378,0.26004401861050414
abcdnet_score > 0.8134343434343435 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.920702861743415,2.6914595515103166,5.789555962114889,3.2364286696103846,277.4082097963758,991.6303593176751,5542.082203740046,20308.916526181347,1837,10071,35744,517.5813283348255,0.2602459415589074
abcdnet_score > 0.8038383838383839 and abs_deta_jj > 4.121212121212121 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.9962109896905025,2.898247501907158,5.464666192987702,3.2790223603936424,284.7154504719042,1112.4613622371508,5098.441563793193,20624.41892253319,2081,9259,36312,530.6229070279797,0.26030583824502845
abcdnet_score > 0.8 and abs_deta_jj > 4.161616161616162 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,6.024247810629069,2.982675113669436,5.3573403506008965,3.2738837700796037,283.00422133266227,1160.1358435519478,4975.241101935839,20701.656132214997,2163,9007,36475,534.1231254283756,0.26066464958526864
